"Vertical Axis: Time [ms]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"6.07800025027245","98.6666666666667",""
"11.3440002780408","101.090909090909",""
"16.6249997215346","102.0625",""
"21.9370000530034","98.5454545454545",""
"27.3119998164475","102.615384615385",""
"32.6249996898696","99.65625",""
"37.9219999769703","101.222222222222",""
"43.2660001097247","103.404761904762",""
"48.5779998125508","103.770833333333",""
"53.8909996859729","104.826923076923",""
"59.219000232406","103.561403508772",""
"64.5309999352321","101.1875",""
"69.8439998086542","101.590909090909",""
"74.9060002388433","120.014705882353",""
"80.2190001122653","112.089743589744",""
"85.5309998150915","113.320987654321",""
"90.8439996885136","122.770114942529",""
"96.1560000199825","106.472527472527",""
"101.483999937773","151.234042553192",""
"106.811999855563","143.42",""
"112.140999943949","160.961538461538",""
"117.453000275418","210.281553398058",""
"122.531000291929","257.44",""
"127.594000264071","261.237623762376",""
"132.672000280581","415.422680412371",""
"137.983999983408","379.3",""
"143.343999702483","106.817518248175",""
"148.672000248916","124.36170212766",""
"153.750000265427","108.071428571429",""
"158.828000281937","158.050724637681",""
"163.906000298448","156.923076923077",""
"169.234000216238","194.304635761589",""
"174.57799972035","243.986577181208",""
"179.906000266783","243.411764705882",""
"185.265999985859","307.381578947368",""
"190.593999903649","288.563291139241",""
"195.936999865808","361.151315789474",""
"201.312000257894","415.486842105263",""
"206.655999762006","411.708860759494",""
"211.983999679796","474.388157894737",""
"217.359000071883","484.462025316456",""
"222.453000303358","516.684563758389",""
"227.781000221148","593.766233766234",""
"232.859000237659","621.620689655172",""
"238.20299974177","614.754716981132",""
"243.561999918893","659.267515923567",""
"248.906000051647","765.653333333333",""
"254.000000283122","784.448979591837",""
"259.078000299633","855.188811188811",""
"264.421999803744","867.688741721854",""
"269.765999936499","913.954545454545",""
"275.093999854289","937.58940397351",""
"280.421999772079","933.135483870968",""
"285.765999904834","1079.25850340136",""
"291.108999866992","1094.6357615894",""
"296.452999999747","1111.88888888889",""
"301.547000231221","1158.21126760563",""
"306.890999735333","1150.90322580645",""
"312.219000281766","1172.61146496815",""
"317.297000298277","1271.11510791367",""
"322.609000001103","1355.97350993377",""
"327.703000232577","1271.83561643836",""
"332.781000249088","1424.35915492958",""
"337.84400022123","1426.39160839161",""
"342.922000237741","1413.72916666667",""
"348.297000001185","1540.48666666667",""
"353.391000232659","1534.17931034483",""
"358.46900024917","1598.32394366197",""
"363.780999951996","1606.93377483444",""
"369.12500008475","1666.93959731544",""
"374.469000217505","1625.54487179487",""
"379.562000278383","1708.41258741259",""
"384.890999738127","1843.59183673469",""
"390.21900028456","1818.5298013245",""
"395.297000301071","1796.04861111111",""
"400.640999805182","1860.86184210526",""
"405.983999767341","1988.83783783784",""
"411.109000258148","1987.77777777778",""
"416.187000274658","1952.35616438356",""
"421.515999734402","2006.74834437086",""
"426.85899969656","2004.89032258065",""
"432.187000242993","2126.02013422819",""
"437.515999702737","2119.97385620915",""
"442.84400024917","2137.55844155844",""
"448.20299979765","2117.375",""
"453.53099971544","2333.5298013245",""
"458.859000261873","2149.80503144654",""
"464.202999765985","2319.93959731544",""
"469.546999898739","2410.62251655629",""
"474.874999816529","2307.4",""
"480.20299973432","2427.53642384106",""
"485.516000236385","2385.77215189873",""
"490.594000252895","2365.41780821918",""
"495.937000215054","2487.86",""
"501.296999934129","2597.84459459459",""
"506.641000066884","2477.21333333333",""
"511.968999984674","2529.32666666667",""
"517.343999748118","2506.56862745098",""
"522.686999710277","2610.90780141844",""
"528.030999843031","2529.38815789474",""
"533.14100028947","2476.70068027211",""
"538.21900030598","2467.59722222222",""
"543.562000268139","2342.38607594937",""
"548.905999772251","2506.8698630137",""
"554.031000263058","2474",""
"559.109000279568","2461.71527777778",""
"564.17200025171","2579.52857142857",""
"569.250000268221","2515.98581560284",""
"574.328000284731","2470.52739726027",""
"579.406000301242","2472.79020979021",""
"584.734000219032","1974.02415458937",""
"590.077999723144","621.520376175549",""
"595.406000269577","765.8",""
