"Vertical Axis: Time [ms]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"6.07800025027245","57.1666666666667",""
"11.3440002780408","58.9090909090909",""
"16.6249997215346","58.1875",""
"21.9370000530034","56.1363636363636",""
"27.3119998164475","58.4615384615385",""
"32.6249996898696","55.9375",""
"37.9219999769703","57.8888888888889",""
"43.2660001097247","60.7142857142857",""
"48.5779998125508","60.7916666666667",""
"53.8909996859729","61.4615384615385",""
"59.219000232406","60.7543859649123",""
"64.5309999352321","58.671875",""
"69.8439998086542","59.3484848484849",""
"74.9060002388433","77.4705882352941",""
"80.2190001122653","69.0641025641026",""
"85.5309998150915","70.2592592592593",""
"90.8439996885136","79.551724137931",""
"96.1560000199825","63.7362637362637",""
"101.483999937773","108.648936170213",""
"106.811999855563","100.58",""
"112.140999943949","118.798076923077",""
"117.453000275418","167.757281553398",""
"122.531000291929","214.83",""
"127.594000264071","216.584158415842",""
"132.672000280581","372.453608247423",""
"137.983999983408","335.936363636364",""
"143.343999702483","62.978102189781",""
"148.672000248916","80.7872340425532",""
"153.750000265427","63.8714285714286",""
"158.828000281937","113.811594202899",""
"163.906000298448","114.286713286713",""
"169.234000216238","147.900662251656",""
"174.57799972035","202.040268456376",""
"179.906000266783","196.712418300654",""
"185.265999985859","263.934210526316",""
"190.593999903649","241.620253164557",""
"195.936999865808","318.815789473684",""
"201.312000257894","370.171052631579",""
"206.655999762006","364.284810126582",""
"211.983999679796","430.217105263158",""
"217.359000071883","440.139240506329",""
"222.453000303358","468.58389261745",""
"227.781000221148","548.064935064935",""
"232.859000237659","577.475862068966",""
"238.20299974177","570.635220125786",""
"243.561999918893","614.554140127389",""
"248.906000051647","721.586666666667",""
"254.000000283122","740.163265306122",""
"259.078000299633","808.846153846154",""
"264.421999803744","824.059602649007",""
"269.765999936499","866.902597402597",""
"275.093999854289","894.417218543046",""
"280.421999772079","888.529032258064",""
"285.765999904834","1034.55102040816",""
"291.108999866992","1050.07284768212",""
"296.452999999747","1066.37908496732",""
"301.547000231221","1112.27464788732",""
"306.890999735333","1105.07096774194",""
"312.219000281766","1130.42675159236",""
"317.297000298277","1227.76258992806",""
"322.609000001103","1311.86092715232",""
"327.703000232577","1222.37671232877",""
"332.781000249088","1381.01408450704",""
"337.84400022123","1381.93006993007",""
"342.922000237741","1370.68055555556",""
"348.297000001185","1496.61333333333",""
"353.391000232659","1490.36551724138",""
"358.46900024917","1554.40845070423",""
"363.780999951996","1562.90728476821",""
"369.12500008475","1623.87248322148",""
"374.469000217505","1578.82051282051",""
"379.562000278383","1662.86713286713",""
"384.890999738127","1796.96598639456",""
"390.21900028456","1773.53642384106",""
"395.297000301071","1751.09722222222",""
"400.640999805182","1817.28289473684",""
"405.983999767341","1944.98648648649",""
"411.109000258148","1944.54166666667",""
"416.187000274658","1908.27397260274",""
"421.515999734402","1959.22516556291",""
"426.85899969656","1956.90322580645",""
"432.187000242993","2080.77181208054",""
"437.515999702737","2076.02614379085",""
"442.84400024917","2090.92857142857",""
"448.20299979765","2072.73684210526",""
"453.53099971544","2287.6821192053",""
"458.859000261873","2106.0251572327",""
"464.202999765985","2275.75167785235",""
"469.546999898739","2368.11920529801",""
"474.874999816529","2263.97419354839",""
"480.20299973432","2381.93377483444",""
"485.516000236385","2339.87974683544",""
"490.594000252895","2318.66438356164",""
"495.937000215054","2443.66",""
"501.296999934129","2554.06756756757",""
"506.641000066884","2433.76666666667",""
"511.968999984674","2485.77333333333",""
"517.343999748118","2463.38562091503",""
"522.686999710277","2566",""
"528.030999843031","2483.53289473684",""
"533.14100028947","2433.48979591837",""
"538.21900030598","2422.74305555556",""
"543.562000268139","2296.41772151899",""
"548.905999772251","2462.97945205479",""
"554.031000263058","2430.66216216216",""
"559.109000279568","2416.50694444444",""
"564.17200025171","2536.55714285714",""
"569.250000268221","2472.70921985816",""
"574.328000284731","2425.37671232877",""
"579.406000301242","2428.48251748252",""
"584.734000219032","1917.72463768116",""
"590.077999723144","541.771159874608",""
"595.406000269577","681.742857142857",""
