"Vertical Axis: Bandwidth [kbit/s]","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"6.09716849487854","76.4472396589753",""
"11.3801938514532","139.439655915597",""
"16.6903416495672","202.554945169058",""
"22.060740680729","276.393387269258",""
"27.3749515650732","323.141158334845",""
"32.6843149059448","402.554434855797",""
"38.0237021744384","454.23733675979",""
"43.328487559173","524.684262917014",""
"48.639430709769","603.686716509215",""
"53.9718673742054","653.810053323121",""
"59.2874622333285","714.718058488548",""
"64.5996158729671","804.807860247809",""
"69.9122634301287","829.975956149235",""
"74.9725364536554","898.220015999487",""
"80.2826741946253","980.018603292768",""
"85.6080415248307","1018.55607926519",""
"90.9100438742913","1093.92644821026",""
"96.2350876996937","1144.25921879842",""
"101.56354704299","1178.36986950971",""
"106.89865583475","1254.17725563479",""
"112.218879215096","1303.95256497902",""
"117.532335534265","1295.38818878058",""
"122.60029165718","1316.86619379459",""
"127.684226905934","1332.59225112977",""
"132.747729110823","1275.81889367601",""
"138.100252406381","1379.92238210557",""
"143.435086861598","1710.70280859368",""
"148.760395245764","1767.81891138733",""
"153.83965252567","1843.69094717333",""
"158.918090707059","1815.5811336369",""
"163.995738843903","1881.13569018432",""
"169.33901459543","1891.29798130107",""
"174.672071171057","1862.49964843838",""
"180.022197793295","1918.88234520208",""
"185.352031054226","1894.14662664964",""
"190.69181921166","1981.58696948177",""
"196.072100225029","1900.41227815697",""
"201.419896383479","1888.73920581923",""
"206.753445479803","1974.29850778786",""
"212.114124560524","1905.24790619562",""
"217.46028140448","1965.1662885052",""
"222.542108284712","1956.05263085999",""
"227.875616034999","1929.46441525442",""
"232.957108515188","1909.33917033812",""
"238.323972739552","1985.00324608729",""
"243.665522014669","1957.54350408502",""
"249.011624661794","1876.09472372069",""
"254.090621852777","1929.34760874877",""
"259.182672378752","1881.53219785663",""
"264.529106352902","1884.90579491808",""
"269.860071321914","1925.82165037608",""
"275.189037712894","1893.6579919835",""
"280.531092638869","1942.88651469082",""
"285.871085012201","1838.47888711337",""
"291.220491989904","1886.99227379973",""
"296.562887741319","1912.47604716987",""
"301.653523562352","1864.62778249072",""
"306.986246017301","1936.04199011511",""
"312.314587468519","1968.29049155137",""
"317.382976607362","1830.26017656865",""
"322.719764662827","1897.12798784425",""
"327.801710552598","1917.14703473939",""
"332.863605569982","1868.09557604347",""
"337.942060792643","1887.52941808021",""
"343.057330191407","1893.55427458494",""
"348.403605486172","1862.44989973155",""
"353.48471663298","1904.52162037678",""
"358.55236824792","1867.36991217782",""
"363.892018398986","1897.39872742823",""
"369.229381946588","1863.0688512731",""
"374.578084924201","1949.84471557505",""
"379.656311626198","1877.05645096111",""
"384.992918653069","1841.60006963879",""
"390.322512218732","1892.82033024376",""
"395.412577855565","1894.41480588187",""
"400.758382140747","1900.5264454985",""
"406.12597383187","1847.94204411966",""
"411.203615543316","1881.8318881352",""
"416.285575680708","1919.56738521183",""
"421.628944740183","1892.59572989521",""
"426.958300566133","1937.36616517448",""
"432.293606869029","1868.63316677004",""
"437.622479952061","1918.16800223415",""
"442.971814015468","1930.83259025203",""
"448.302856647982","1894.77112457116",""
"453.638598481092","1893.70744702042",""
"458.965612948014","1992.82423710655",""
"464.317153437099","1863.37448480659",""
"469.652505835239","1887.40138361048",""
"474.982704785105","1943.5901596587",""
"480.29511655811","1892.44308367391",""
"485.623489856951","1987.51988956631",""
"490.702374743159","1923.19164714874",""
"496.073454587105","1873.4121101893",""
"501.413768509685","1844.59565583741",""
"506.745402558146","1875.69329849739",""
"512.106384191287","1879.45440711448",""
"517.464194751009","1902.36058127165",""
"522.807662705735","1762.67177567021",""
"528.154127968778","1900.59739712798",""
"533.243534862671","1922.99139913547",""
"538.33042523561","1895.59911865675",""
"543.676941622469","1972.99058114976",""
"549.043200462629","1825.58536555009",""
"554.140569821025","1929.43099282552",""
"559.202333257439","1896.06388360811",""
"564.272339082202","1846.95408080809",""
"569.356476311934","1854.76100679157",""
"574.431479699236","1921.20140540327",""
"579.515779240099","1881.49234288496",""
"584.847465529837","2591.85372784251",""
"590.181861661189","3989.03469573211",""
"595.540961770281","3072.11591089048",""
