"Vertical Axis: Avg. User Bandwidth [kbit/s]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"6.07800025027245","673.03459996614",""
"11.3440002780408","654.259474052079",""
"16.6249997215346","651.517315415412",""
"21.9370000530034","680.129486915158",""
"27.3119998164475","648.692806369705",""
"32.6249996898696","671.784081434502",""
"37.9219999769703","662.192809903353",""
"43.2660001097247","648.910681277362",""
"48.5779998125508","648.987211540191",""
"53.8909996859729","645.459247252506",""
"59.219000232406","663.238922054271",""
"64.5309999352321","664.535863976636",""
"69.8439998086542","659.98050111789",""
"74.9060002388433","574.151323883312",""
"80.2190001122653","613.090422102892",""
"85.5309998150915","602.937979339926",""
"90.8439996885136","560.848906734551",""
"96.1560000199825","639.314360362355",""
"101.483999937773","461.573862709492",""
"106.811999855563","497.251425910973",""
"112.140999943949","446.049943638332",""
"117.453000275418","333.403613808643",""
"122.531000291929","270.112168285771",""
"127.594000264071","296.903975278486",""
"132.672000280581","164.608274910043",""
"137.983999983408","182.51479451495",""
"143.343999702483","647.202694465577",""
"148.672000248916","591.613431543366",""
"153.750000265427","641.74634863954",""
"158.828000281937","505.906979731585",""
"163.906000298448","536.383183144408",""
"169.234000216238","372.092982617216",""
"174.57799972035","289.335183973261",""
"179.906000266783","288.267690683763",""
"185.265999985859","218.768278277214",""
"190.593999903649","233.870733276003",""
"195.936999865808","187.169978359414",""
"201.312000257894","161.392559371683",""
"206.655999762006","162.904600088564",""
"211.983999679796","142.4723765199",""
"217.359000071883","137.806286519257",""
"222.453000303358","130.367039867725",""
"227.781000221148","112.649891610776",""
"232.859000237659","107.786328195135",""
"238.20299974177","108.795768635052",""
"243.561999918893","101.767274496906",""
"248.906000051647","87.2282854928833",""
"254.000000283122","85.1427184503694",""
"259.078000299633","78.0919997089154",""
"264.421999803744","77.1322571722369",""
"269.765999936499","73.2479314758923",""
"275.093999854289","71.3726055414726",""
"280.421999772079","71.5793533616313",""
"285.765999904834","61.8585449803819",""
"291.108999866992","61.0355364879472",""
"296.452999999747","60.1785523453383",""
"301.547000231221","57.8314467074851",""
"306.890999735333","58.0424594995196",""
"312.219000281766","56.9090985623025",""
"317.297000298277","52.8834576365487",""
"322.609000001103","49.2529986386596",""
"327.703000232577","52.5056199223744",""
"332.781000249088","46.8943875212689",""
"337.84400022123","46.7969825803049",""
"342.922000237741","47.2340590049301",""
"348.297000001185","43.371898946378",""
"353.391000232659","43.5961236949968",""
"358.46900024917","41.8303816169948",""
"363.780999951996","41.5590927812238",""
"369.12500008475","40.075659495031",""
"374.469000217505","41.1167635147131",""
"379.562000278383","39.0816825841683",""
"384.890999738127","36.2271851955921",""
"390.21900028456","36.7200295346537",""
"395.297000301071","37.1906960943396",""
"400.640999805182","35.900012769998",""
"405.983999767341","33.5910226295349",""
"411.109000258148","33.6078735491112",""
"416.187000274658","34.22722950518",""
"421.515999734402","33.2822199803253",""
"426.85899969656","33.3097002400509",""
"432.187000242993","31.4092493531446",""
"437.515999702737","31.4977516879942",""
"442.84400024917","31.2458039249865",""
"448.20299979765","31.5581886844897",""
"453.53099971544","28.6317409047917",""
"458.859000261873","31.0604983090072",""
"464.202999765985","28.7924843239655",""
"469.546999898739","27.7117899349749",""
"474.874999816529","28.9489979495921",""
"480.20299973432","27.5042320315659",""
"485.516000236385","27.9948614766568",""
"490.594000252895","28.2297196195828",""
"495.937000215054","26.8499830750491",""
"501.296999934129","25.7020865127874",""
"506.641000066884","26.9804699291158",""
"511.968999984674","26.4114659132213",""
"517.343999748118","26.6566386832939",""
"522.686999710277","25.6661366780806",""
"528.030999843031","26.4278937516411",""
"533.14100028947","26.9669494420428",""
"538.21900030598","27.0649579150327",""
"543.562000268139","28.517934793797",""
"548.905999772251","26.6702614947807",""
"554.031000263058","27.006560430019",""
"559.109000279568","27.1249960707502",""
"564.17200025171","25.8939534774458",""
"569.250000268221","26.5371522318882",""
"574.328000284731","27.0301590939625",""
"579.406000301242","27.0040209825552",""
"584.734000219032","42.1838892107521",""
"590.077999723144","106.855199188274",""
"595.406000269577","96.7688757367451",""
