"Vertical Axis: Transferred Data [kbit/s]","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"6.09718330122963","76.4472396589753",""
"11.3802013943113","139.439655915597",""
"16.6903491924253","202.554945169058",""
"22.0607498997778","276.393387269258",""
"27.3749591079313","323.141158334845",""
"32.684322728168","402.554434855797",""
"38.0237122315825","454.23733675979",""
"43.3284953813962","524.684262917014",""
"48.6394382526271","603.686716509215",""
"53.9718749170635","653.810053323121",""
"59.2874700555518","714.718058488548",""
"64.5996234158252","804.807860247809",""
"69.9122709729868","829.975956149235",""
"74.9725445552438","898.220015999487",""
"80.2826820168485","980.018603292768",""
"85.6080490676888","1018.55607926519",""
"90.9100514171494","1093.92644821026",""
"96.2350952425518","1144.25921879842",""
"101.563554865213","1178.36986950971",""
"106.898663936338","1254.17725563479",""
"112.218886757954","1303.95256497902",""
"117.532343635853","1295.38818878058",""
"122.600299758768","1316.86619379459",""
"127.684234728157","1332.59225112977",""
"132.747736653681","1275.81889367601",""
"138.10026050797","1379.92238210557",""
"143.435094683822","1710.70280859368",""
"148.760402788623","1767.81891138733",""
"153.839660068528","1843.69094717333",""
"158.918098529282","1815.5811336369",""
"163.995746945492","1881.13569018432",""
"169.339022417654","1891.29798130107",""
"174.672078713915","1862.49964843838",""
"180.022205615518","1918.88234520208",""
"185.352050051054","1894.14662664964",""
"190.691827033883","1981.58696948177",""
"196.072108047252","1900.41227815697",""
"201.419904485067","1888.73920581923",""
"206.753453581391","1974.29850778786",""
"212.114133500207","1905.24790619562",""
"217.460289226703","1965.1662885052",""
"222.542116665666","1956.05263085999",""
"227.875623857222","1929.46441525442",""
"232.957116337412","1909.33917033812",""
"238.32398084114","1985.00324608729",""
"243.665530395623","1957.54350408502",""
"249.011637791954","1876.09472372069",""
"254.090630233731","1929.34760874877",""
"259.18268048034","1881.53219785663",""
"264.529116130681","1884.90579491808",""
"269.860096744139","1925.82165037608",""
"275.189044976387","1893.6579919835",""
"280.531100461092","1942.88651469082",""
"285.87109311379","1838.47888711337",""
"291.220499812127","1886.99227379973",""
"296.56290143021","1912.47604716987",""
"301.653531384575","1864.62778249072",""
"306.986253839524","1936.04199011511",""
"312.314595290742","1968.29049155137",""
"317.38298470895","1830.26017656865",""
"322.71977248505","1897.12798784425",""
"327.801718654187","1917.14703473939",""
"332.863613950935","1868.09557604347",""
"337.942068614866","1887.52941808021",""
"343.057337734265","1893.55427458494",""
"348.403613308395","1862.44989973155",""
"353.484724455203","1904.52162037678",""
"358.552376349508","1867.36991217782",""
"363.89202622121","1897.39872742823",""
"369.229390048177","1863.0688512731",""
"374.57809302579","1949.84471557505",""
"379.656319727787","1877.05645096111",""
"384.992926754657","1841.60006963879",""
"390.322520040955","1892.82033024376",""
"395.412585677789","1894.41480588187",""
"400.75838996297","1900.5264454985",""
"406.125981654093","1847.94204411966",""
"411.203623644905","1881.8318881352",""
"416.285586296582","1919.56738521183",""
"421.628983571934","1892.59572989521",""
"426.958308388357","1937.36616517448",""
"432.293614970618","1868.63316677004",""
"437.622488333014","1918.16800223415",""
"442.971821837692","1930.83259025203",""
"448.302864470205","1894.77112457116",""
"453.63860658268","1893.70744702042",""
"458.965620770238","1992.82423710655",""
"464.317161259322","1863.37448480659",""
"469.652514216192","1887.40138361048",""
"474.982712886694","1943.5901596587",""
"480.295136672398","1892.44308367391",""
"485.623497399809","1987.51988956631",""
"490.702382565382","1923.19164714874",""
"496.073462688694","1873.4121101893",""
"501.413778287464","1844.59565583741",""
"506.745410101004","1875.69329849739",""
"512.10646464844","1879.45440711448",""
"517.464202573232","1902.36058127165",""
"522.807670807323","1762.67177567021",""
"528.154135791001","1900.59739712798",""
"533.243542684894","1922.99139913547",""
"538.330433337198","1895.59911865675",""
"543.676949724057","1972.99058114976",""
"549.043208284852","1825.58536555009",""
"554.140578481343","1929.43099282552",""
"559.202341079662","1896.06388360811",""
"564.27234718379","1846.95408080809",""
"569.356484692887","1854.76100679157",""
"574.431487521459","1921.20140540327",""
"579.515787062322","1881.49234288496",""
"584.84747335206","2591.85372784251",""
"590.181869483412","3989.03469573211",""
"595.540969592504","3072.11591089048",""
