"Vertical Axis: Average Request Time [ms]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"6.07800025027245","99.9372825317184",""
"11.3440002780408","102.459492375809",""
"16.6249997215346","103.809073499565",""
"21.9370000530034","99.6965078979693",""
"27.3119998164475","103.875062763134",""
"32.6249996898696","100.948365993443",""
"37.9219999769703","102.94669667048",""
"43.2660001097247","104.751987300328",""
"48.5779998125508","105.100357261421",""
"53.8909996859729","106.099271104181",""
"59.219000232406","104.937437775403",""
"64.5309999352321","102.554828895851",""
"69.8439998086542","103.046870228174",""
"74.9060002388433","121.267556762267",""
"80.2190001122653","113.410531943055",""
"85.5309998150915","114.615211889214",""
"90.8439996885136","124.051244360457",""
"96.1560000199825","107.82272822169",""
"101.483999937773","152.516341150336",""
"106.811999855563","144.784647210749",""
"112.140999943949","162.523344447409",""
"117.453000275418","211.719152297208",""
"122.531000291929","258.797268926637",""
"127.594000264071","262.652876854239",""
"132.672000280581","416.860064847555",""
"137.983999983408","380.845864234395",""
"143.343999702483","108.716594317389",""
"148.672000248916","126.07362663639",""
"153.750000265427","109.882636719791",""
"158.828000281937","159.819731359671",""
"163.906000298448","158.553928802941",""
"169.234000216238","196.318195348721",""
"174.57799972035","245.487722320376",""
"179.906000266783","245.471260966576",""
"185.265999985859","309.181382285355",""
"190.593999903649","290.266533945841",""
"195.936999865808","362.842535632469",""
"201.312000257894","417.375343058523",""
"206.655999762006","413.496475252114",""
"211.983999679796","476.109430550237",""
"217.359000071883","486.274537296666",""
"222.453000303358","518.651719083078",""
"227.781000221148","595.67332189956",""
"232.859000237659","623.263887179651",""
"238.20299974177","616.726701614891",""
"243.561999918893","661.123188511852",""
"248.906000051647","767.826031893253",""
"254.000000283122","786.31157878225",""
"259.078000299633","857.202253906025",""
"264.421999803744","869.632324704704",""
"269.765999936499","915.708528071831",""
"275.093999854289","939.192908077897",""
"280.421999772079","934.934900493526",""
"285.765999904834","1081.07898371114",""
"291.108999866992","1096.35243607629",""
"296.452999999747","1113.73299653586",""
"301.547000231221","1159.83181354448",""
"306.890999735333","1152.81171390543",""
"312.219000281766","1174.55509081399",""
"317.297000298277","1272.978006298",""
"322.609000001103","1357.65263517759",""
"327.703000232577","1273.77514326695",""
"332.781000249088","1426.04295899674",""
"337.84400022123","1428.01852370443",""
"342.922000237741","1415.56262737303",""
"348.297000001185","1542.22131583763",""
"353.391000232659","1536.14833439869",""
"358.46900024917","1600.18256903727",""
"363.780999951996","1608.5184565847",""
"369.12500008475","1668.67406688606",""
"374.469000217505","1627.22695990835",""
"379.562000278383","1710.31120326296",""
"384.890999738127","1845.13146851038",""
"390.21900028456","1820.24176571555",""
"395.297000301071","1797.7259621451",""
"400.640999805182","1862.52228396273",""
"405.983999767341","1990.75645768508",""
"411.109000258148","1989.51977291962",""
"416.187000274658","1954.27395044488",""
"421.515999734402","2008.69334284679",""
"426.85899969656","2006.73192966181",""
"432.187000242993","2127.7459160406",""
"437.515999702737","2121.62142015402",""
"442.84400024917","2139.48574288254",""
"448.20299979765","2119.22040628363",""
"453.53099971544","2335.2058461609",""
"458.859000261873","2151.57850206727",""
"464.202999765985","2321.65723960961",""
"469.546999898739","2412.30999067281",""
"474.874999816529","2309.14841177102",""
"480.20299973432","2429.33404934674",""
"485.516000236385","2387.60118564676",""
"490.594000252895","2367.15835182006",""
"495.937000215054","2489.55415841958",""
"501.296999934129","2599.80527496455",""
"506.641000066884","2479.10128056313",""
"511.968999984674","2531.0331043005",""
"517.343999748118","2508.17410366273",""
"522.686999710277","2612.77498628956",""
"528.030999843031","2531.16605675626",""
"533.14100028947","2478.58344364692",""
"538.21900030598","2469.27564389391",""
"543.562000268139","2344.08722231528",""
"548.905999772251","2508.59669985224",""
"554.031000263058","2476.14179259458",""
"559.109000279568","2463.62581231227",""
"564.17200025171","2581.17726654405",""
"569.250000268221","2517.80981237076",""
"574.328000284731","2472.17406543806",""
"579.406000301242","2474.28262335213",""
"584.734000219032","1976.67276053754",""
"590.077999723144","626.100705230084",""
"595.406000269577","770.11280620804",""
