"Vertical Axis: Server Bandwidth [kbit/s]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"6.07800025027245","76.4472396589753",""
"11.3440002780408","139.439655915597",""
"16.6249997215346","202.554945169058",""
"21.9370000530034","276.393387269258",""
"27.3119998164475","323.141158334845",""
"32.6249996898696","402.554434855797",""
"37.9219999769703","454.23733675979",""
"43.2660001097247","524.684262917014",""
"48.5779998125508","603.686716509215",""
"53.8909996859729","653.810053323121",""
"59.219000232406","714.718058488548",""
"64.5309999352321","804.807860247809",""
"69.8439998086542","829.975956149235",""
"74.9060002388433","898.220015999487",""
"80.2190001122653","980.018603292768",""
"85.5309998150915","1018.55607926519",""
"90.8439996885136","1093.92644821026",""
"96.1560000199825","1144.25921879842",""
"101.483999937773","1178.36986950971",""
"106.811999855563","1254.17725563479",""
"112.140999943949","1303.95256497902",""
"117.453000275418","1295.38818878058",""
"122.531000291929","1316.86619379459",""
"127.594000264071","1332.59225112977",""
"132.672000280581","1275.81889367601",""
"137.983999983408","1379.92238210557",""
"143.343999702483","1710.70280859368",""
"148.672000248916","1767.81891138733",""
"153.750000265427","1843.69094717333",""
"158.828000281937","1815.5811336369",""
"163.906000298448","1881.13569018432",""
"169.234000216238","1891.29798130107",""
"174.57799972035","1862.49964843838",""
"179.906000266783","1918.88234520208",""
"185.265999985859","1894.14662664964",""
"190.593999903649","1981.58696948177",""
"195.936999865808","1900.41227815697",""
"201.312000257894","1888.73920581923",""
"206.655999762006","1974.29850778786",""
"211.983999679796","1905.24790619562",""
"217.359000071883","1965.1662885052",""
"222.453000303358","1956.05263085999",""
"227.781000221148","1929.46441525442",""
"232.859000237659","1909.33917033812",""
"238.20299974177","1985.00324608729",""
"243.561999918893","1957.54350408502",""
"248.906000051647","1876.09472372069",""
"254.000000283122","1929.34760874877",""
"259.078000299633","1881.53219785663",""
"264.421999803744","1884.90579491808",""
"269.765999936499","1925.82165037608",""
"275.093999854289","1893.6579919835",""
"280.421999772079","1942.88651469082",""
"285.765999904834","1838.47888711337",""
"291.108999866992","1886.99227379973",""
"296.452999999747","1912.47604716987",""
"301.547000231221","1864.62778249072",""
"306.890999735333","1936.04199011511",""
"312.219000281766","1968.29049155137",""
"317.297000298277","1830.26017656865",""
"322.609000001103","1897.12798784425",""
"327.703000232577","1917.14703473939",""
"332.781000249088","1868.09557604347",""
"337.84400022123","1887.52941808021",""
"342.922000237741","1893.55427458494",""
"348.297000001185","1862.44989973155",""
"353.391000232659","1904.52162037678",""
"358.46900024917","1867.36991217782",""
"363.780999951996","1897.39872742823",""
"369.12500008475","1863.0688512731",""
"374.469000217505","1949.84471557505",""
"379.562000278383","1877.05645096111",""
"384.890999738127","1841.60006963879",""
"390.21900028456","1892.82033024376",""
"395.297000301071","1894.41480588187",""
"400.640999805182","1900.5264454985",""
"405.983999767341","1847.94204411966",""
"411.109000258148","1881.8318881352",""
"416.187000274658","1919.56738521183",""
"421.515999734402","1892.59572989521",""
"426.85899969656","1937.36616517448",""
"432.187000242993","1868.63316677004",""
"437.515999702737","1918.16800223415",""
"442.84400024917","1930.83259025203",""
"448.20299979765","1894.77112457116",""
"453.53099971544","1893.70744702042",""
"458.859000261873","1992.82423710655",""
"464.202999765985","1863.37448480659",""
"469.546999898739","1887.40138361048",""
"474.874999816529","1943.5901596587",""
"480.20299973432","1892.44308367391",""
"485.516000236385","1987.51988956631",""
"490.594000252895","1923.19164714874",""
"495.937000215054","1873.4121101893",""
"501.296999934129","1844.59565583741",""
"506.641000066884","1875.69329849739",""
"511.968999984674","1879.45440711448",""
"517.343999748118","1902.36058127165",""
"522.686999710277","1762.67177567021",""
"528.030999843031","1900.59739712798",""
"533.14100028947","1922.99139913547",""
"538.21900030598","1895.59911865675",""
"543.562000268139","1972.99058114976",""
"548.905999772251","1825.58536555009",""
"554.031000263058","1929.43099282552",""
"559.109000279568","1896.06388360811",""
"564.17200025171","1846.95408080809",""
"569.250000268221","1854.76100679157",""
"574.328000284731","1921.20140540327",""
"579.406000301242","1881.49234288496",""
"584.734000219032","2591.85372784251",""
"590.077999723144","3989.03469573211",""
"595.406000269577","3072.11591089048",""
