"Vertical Axis: Hits/s - Clicks/s","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"6.07800025027245","1.14428271552771",""
"11.3440002780408","2.08717003825286",""
"16.6249997215346","3.03189655683538",""
"21.9370000530034","4.1371300932412",""
"27.3119998164475","4.83686322498571",""
"32.6249996898696","6.02554237300618",""
"37.9219999769703","6.79914586216905",""
"43.2660001097247","7.85361428147847",""
"48.5779998125508","9.03614412209938",""
"53.8909996859729","9.78640362416359",""
"59.219000232406","10.6980909245681",""
"64.5309999352321","12.0465791559066",""
"69.8439998086542","12.4233019421212",""
"74.9060002388433","13.4447972697804",""
"80.2190001122653","14.6691803869711",""
"85.5309998150915","15.2460196273678",""
"90.8439996885136","16.3741834542309",""
"96.1560000199825","17.1275778170042",""
"101.483999937773","17.6381551537197",""
"106.811999855563","18.7728603705363",""
"112.140999943949","19.5179105044159",""
"117.453000275418","19.3897166324479",""
"122.531000291929","19.7112051519966",""
"127.594000264071","19.9465969813461",""
"132.672000280581","19.096798192971",""
"137.983999983408","20.6550470318759",""
"143.343999702483","25.6062568643527",""
"148.672000248916","26.461185956582",""
"153.750000265427","27.5968588668023",""
"158.828000281937","27.1761036647841",""
"163.906000298448","28.1573417881739",""
"169.234000216238","28.3094536777192",""
"174.57799972035","27.8783925344028",""
"179.906000266783","28.7223438091558",""
"185.265999985859","28.3520929626638",""
"190.593999903649","29.6609233846511",""
"195.936999865808","28.4458789090673",""
"201.312000257894","28.2711532424145",""
"206.655999762006","29.5518277420049",""
"211.983999679796","28.5182598819845",""
"217.359000071883","29.4151342429828",""
"222.453000303358","29.2787185795112",""
"227.781000221148","28.8807390620048",""
"232.859000237659","28.5794990171554",""
"238.20299974177","29.7120591259623",""
"243.561999918893","29.3010343684143",""
"248.906000051647","28.0818872548302",""
"254.000000283122","28.878990671009",""
"259.078000299633","28.1632768209889",""
"264.421999803744","28.2137737234774",""
"269.765999936499","28.8262131836918",""
"275.093999854289","28.3447789483819",""
"280.421999772079","29.0816446337388",""
"285.765999904834","27.51884335878",""
"291.108999866992","28.2450046970383",""
"296.452999999747","28.6264526279768",""
"301.547000231221","27.9102470136918",""
"306.890999735333","28.9791939605303",""
"312.219000281766","29.4618981491942",""
"317.297000298277","27.3958235027041",""
"322.609000001103","28.3967187738632",""
"327.703000232577","28.6963692183479",""
"332.781000249088","27.9621538744383",""
"337.84400022123","28.2530448161928",""
"342.922000237741","28.3432264786394",""
"348.297000001185","27.8776478824625",""
"353.391000232659","28.5073886417312",""
"358.46900024917","27.9512919437465",""
"363.780999951996","28.4007712763177",""
"369.12500008475","27.8869125145656",""
"374.469000217505","29.1857968443158",""
"379.562000278383","28.0962826452087",""
"384.890999738127","27.5655620530295",""
"390.21900028456","28.3322406035768",""
"395.297000301071","28.3561071410889",""
"400.640999805182","28.4475877963493",""
"405.983999767341","27.6604904221001",""
"411.109000258148","28.1677626651778",""
"416.187000274658","28.7325976711146",""
"421.515999734402","28.32887872553",""
"426.85899969656","28.9990145667358",""
"432.187000242993","27.9702006761172",""
"437.515999702737","28.7116513326869",""
"442.84400024917","28.9012182710458",""
"448.20299979765","28.3614406144648",""
"453.53099971544","28.3455192045926",""
"458.859000261873","29.8291258098813",""
"464.202999765985","27.8914873189826",""
"469.546999898739","28.2511283620296",""
"474.874999816529","29.0921769796835",""
"480.20299973432","28.3265938760913",""
"485.516000236385","29.7497289181882",""
"490.594000252895","28.7868465924552",""
"495.937000215054","28.041733178501",""
"501.296999934129","27.6104007878908",""
"506.641000066884","28.0758786147975",""
"511.968999984674","28.1321758938223",""
"517.343999748118","28.4750416308175",""
"522.686999710277","26.3841422534758",""
"528.030999843031","28.4486498193028",""
"533.14100028947","28.7838492266715",""
"538.21900030598","28.3738342512387",""
"543.562000268139","29.5322503465118",""
"548.905999772251","27.3258496819256",""
"554.031000263058","28.8802387861562",""
"559.109000279568","28.3807909772499",""
"564.17200025171","27.6457023231962",""
"569.250000268221","27.7625584779005",""
"574.328000284731","28.7570561220703",""
"579.406000301242","28.1626802611208",""
"584.734000219032","38.7955593318542",""
"590.077999723144","59.7089374885059",""
"595.406000269577","45.9842520490133",""
