"Vertical Axis: Click Time [ms]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"6.07800025027245","100",""
"11.3440002780408","102.454545454545",""
"16.6249997215346","103.75",""
"21.9370000530034","99.7272727272727",""
"27.3119998164475","103.923076923077",""
"32.6249996898696","100.9375",""
"37.9219999769703","102.972222222222",""
"43.2660001097247","104.761904761905",""
"48.5779998125508","105.104166666667",""
"53.8909996859729","106.173076923077",""
"59.219000232406","105",""
"64.5309999352321","102.515625",""
"69.8439998086542","103.075757575758",""
"74.9060002388433","121.294117647059",""
"80.2190001122653","113.423076923077",""
"85.5309998150915","114.654320987654",""
"90.8439996885136","124.057471264368",""
"96.1560000199825","107.813186813187",""
"101.483999937773","152.553191489362",""
"106.811999855563","144.75",""
"112.140999943949","162.519230769231",""
"117.453000275418","211.699029126214",""
"122.531000291929","258.73",""
"127.594000264071","262.673267326733",""
"132.672000280581","416.845360824742",""
"137.983999983408","380.809090909091",""
"143.343999702483","108.751824817518",""
"148.672000248916","126.078014184397",""
"153.750000265427","109.921428571429",""
"158.828000281937","159.797101449275",""
"163.906000298448","158.538461538462",""
"169.234000216238","196.291390728477",""
"174.57799972035","245.469798657718",""
"179.906000266783","245.483660130719",""
"185.265999985859","309.171052631579",""
"190.593999903649","290.259493670886",""
"195.936999865808","362.875",""
"201.312000257894","417.401315789474",""
"206.655999762006","413.544303797468",""
"211.983999679796","476.085526315789",""
"217.359000071883","486.278481012658",""
"222.453000303358","518.644295302013",""
"227.781000221148","595.655844155844",""
"232.859000237659","623.28275862069",""
"238.20299974177","616.691823899371",""
"243.561999918893","661.133757961783",""
"248.906000051647","767.846666666667",""
"254.000000283122","786.265306122449",""
"259.078000299633","857.202797202797",""
"264.421999803744","869.635761589404",""
"269.765999936499","915.668831168831",""
"275.093999854289","939.211920529801",""
"280.421999772079","934.929032258064",""
"285.765999904834","1081.0612244898",""
"291.108999866992","1096.39072847682",""
"296.452999999747","1113.6862745098",""
"301.547000231221","1159.82394366197",""
"306.890999735333","1152.78064516129",""
"312.219000281766","1174.54777070064",""
"317.297000298277","1272.94244604317",""
"322.609000001103","1357.64900662252",""
"327.703000232577","1273.77397260274",""
"332.781000249088","1426.04929577465",""
"337.84400022123","1428.02097902098",""
"342.922000237741","1415.55555555556",""
"348.297000001185","1542.24",""
"353.391000232659","1536.16551724138",""
"358.46900024917","1600.14084507042",""
"363.780999951996","1608.50331125828",""
"369.12500008475","1668.67785234899",""
"374.469000217505","1627.28205128205",""
"379.562000278383","1710.25874125874",""
"384.890999738127","1845.10884353741",""
"390.21900028456","1820.22516556291",""
"395.297000301071","1797.70833333333",""
"400.640999805182","1862.51973684211",""
"405.983999767341","1990.75675675676",""
"411.109000258148","1989.50694444444",""
"416.187000274658","1954.29452054795",""
"421.515999734402","2008.67549668874",""
"426.85899969656","2006.73548387097",""
"432.187000242993","2127.72483221477",""
"437.515999702737","2121.62745098039",""
"442.84400024917","2139.50649350649",""
"448.20299979765","2119.21710526316",""
"453.53099971544","2335.20529801324",""
"458.859000261873","2151.61635220126",""
"464.202999765985","2321.6644295302",""
"469.546999898739","2412.34437086093",""
"474.874999816529","2309.11612903226",""
"480.20299973432","2429.35099337748",""
"485.516000236385","2387.58860759494",""
"490.594000252895","2367.18493150685",""
"495.937000215054","2489.55333333333",""
"501.296999934129","2599.77702702703",""
"506.641000066884","2479.14",""
"511.968999984674","2531.05333333333",""
"517.343999748118","2508.14379084967",""
"522.686999710277","2612.85815602837",""
"528.030999843031","2531.15789473684",""
"533.14100028947","2478.55102040816",""
"538.21900030598","2469.23611111111",""
"543.562000268139","2344.06329113924",""
"548.905999772251","2508.58219178082",""
"554.031000263058","2476.15540540541",""
"559.109000279568","2463.65277777778",""
"564.17200025171","2581.15714285714",""
"569.250000268221","2517.83687943262",""
"574.328000284731","2472.20547945205",""
"579.406000301242","2474.27272727273",""
"584.734000219032","1976.68115942029",""
"590.077999723144","626.100313479624",""
"595.406000269577","770.134693877551",""
