"Vertical Axis: Request Hierarchy","Horizontal Axis: Time Since Start of Test [ms] (time values are fractions of a day)"
"34578.5643147383","0","CLICK User:2 Request:27"
"34703.3893972558","0","CLICK User:7 Request:6"
"34968.4853801251","0","CLICK User:8 Request:2"
"35015.3497162349","0","CLICK User:3 Request:23"
"35234.0235979713","0","CLICK User:1 Request:31"
"35344.126977032","0","CLICK User:4 Request:19"
"35391.1217766504","0","CLICK User:5 Request:15"
"35548.0872569","0","CLICK User:6 Request:11"
"35733.9689820913","0","CLICK User:2 Request:28"
"35843.4354086902","0","CLICK User:7 Request:7"
"36077.9101813219","0","CLICK User:8 Request:3"
"36140.4438273579","0","CLICK User:3 Request:24"
"36375.1527079559","0","CLICK User:1 Request:32"
"36469.1118563952","0","CLICK User:4 Request:20"
"36532.0039278735","0","CLICK User:5 Request:16"
"36687.2406967925","0","CLICK User:6 Request:12"
"36890.5388813383","0","CLICK User:2 Request:29"
"36994.164062751","0","CLICK User:7 Request:8"
"37218.5526372765","0","CLICK User:8 Request:4"
"37281.5575722613","0","CLICK User:3 Request:25"
"37500.6574857978","0","CLICK User:1 Request:33"
"37624.9766380923","0","CLICK User:4 Request:21"
"37675.8417620117","0","CLICK User:5 Request:17"
"37827.8904162401","0","CLICK User:6 Request:13"
"38046.8246662634","0","CLICK User:2 Request:30"
"38125.73134295","0","CLICK User:7 Request:9"
"38359.9220012599","0","CLICK User:8 Request:5"
"38422.9727521235","0","CLICK User:3 Request:26"
"38624.9456285645","0","CLICK User:9 Request:1"
"38640.3098717854","0","CLICK User:1 Request:34"
"38771.8425107102","0","CLICK User:4 Request:22"
"38781.9742453301","0","CLICK User:5 Request:18"
"38990.5133194303","0","CLICK User:6 Request:14"
"39187.4067793532","0","CLICK User:2 Request:31"
"39271.5694313104","0","CLICK User:7 Request:10"
"39499.8573841089","0","CLICK User:8 Request:6"
"39563.2425350149","0","CLICK User:3 Request:27"
"39749.8173650562","0","CLICK User:9 Request:2"
"39828.4078004327","0","CLICK User:1 Request:35"
"39906.1009150604","0","CLICK User:4 Request:23"
"39953.2253400921","0","CLICK User:5 Request:19"
"40124.9181111007","0","CLICK User:6 Request:15"
"40328.0291210196","0","CLICK User:2 Request:32"
"40407.4501088826","0","CLICK User:7 Request:11"
"40641.2127798365","0","CLICK User:8 Request:7"
"40688.0609127696","0","CLICK User:3 Request:28"
"40874.935222214","0","CLICK User:9 Request:3"
"40970.015183494","0","CLICK User:1 Request:36"
"41047.6893012939","0","CLICK User:4 Request:24"
"41093.6856499918","0","CLICK User:5 Request:20"
"41270.8718566187","0","CLICK User:6 Request:16"
"41454.610572014","0","CLICK User:2 Request:33"
"41531.5181119388","0","CLICK User:7 Request:12"
"41770.3099136902","0","CLICK User:8 Request:8"
"41828.6502893524","0","CLICK User:3 Request:29"
"42000.5489524507","0","CLICK User:9 Request:4"
"42111.3524204892","0","CLICK User:1 Request:37"
"42203.0593273726","0","CLICK User:4 Request:25"
"42249.9837269821","0","CLICK User:5 Request:21"
"42406.251911905","0","CLICK User:6 Request:17"
"42593.7232245998","0","CLICK User:2 Request:34"
"42687.4474269775","0","CLICK User:7 Request:13"
"42906.2805468293","0","CLICK User:8 Request:9"
"42953.2046670736","0","CLICK User:3 Request:30"
"43141.5392179732","0","CLICK User:9 Request:5"
"43251.4914605069","0","CLICK User:1 Request:38"
"43359.6459885265","0","CLICK User:4 Request:26"
"43423.2604981918","0","CLICK User:5 Request:22"
"43437.6120428714","0","CLICK User:10 Request:1"
"43548.3800315403","0","CLICK User:6 Request:18"
"43734.3827218264","0","CLICK User:2 Request:35"
"43796.8968123044","0","CLICK User:7 Request:14"
"44046.8738345237","0","CLICK User:8 Request:10"
"44124.9949365073","0","CLICK User:3 Request:31"
"44281.2664738116","0","CLICK User:9 Request:6"
"44391.3245957238","0","CLICK User:1 Request:39"
"44485.171718752","0","CLICK User:4 Request:27"
"44562.5904968369","0","CLICK User:5 Request:23"
"44609.6274805876","0","CLICK User:10 Request:2"
"44673.1925426276","0","CLICK User:6 Request:19"
"44875.0246190507","0","CLICK User:2 Request:36"
"44923.0008283176","0","CLICK User:7 Request:15"
"45219.585170741","0","CLICK User:8 Request:11"
"45265.8097607377","0","CLICK User:3 Request:32"
"45423.0381235604","0","CLICK User:9 Request:7"
"45500.2501714603","0","CLICK User:1 Request:40"
"45673.4101680521","0","CLICK User:4 Request:28"
"45718.8095134996","0","CLICK User:5 Request:24"
"45766.4859639982","0","CLICK User:10 Request:3"
"45813.0460714979","0","CLICK User:6 Request:20"
"46015.7520020003","0","CLICK User:2 Request:37"
"46063.4401858337","0","CLICK User:7 Request:16"
"46359.3984710347","0","CLICK User:8 Request:12"
"46407.234718379","0","CLICK User:3 Request:33"
"46562.6547508133","0","CLICK User:9 Request:8"
"46625.0783269941","0","CLICK User:1 Request:41"
"46796.9367615158","0","CLICK User:4 Request:29"
"46859.3511186478","0","CLICK User:5 Request:25"
"46937.5917889005","0","CLICK User:10 Request:4"
"46954.1332767153","0","CLICK User:6 Request:21"
"47142.1756117048","0","CLICK User:2 Request:38"
"47218.9764341557","0","CLICK User:7 Request:17"
"47515.7879004175","0","CLICK User:8 Request:13"
"47583.1816613564","0","CLICK User:3 Request:34"
"47703.2399369194","0","CLICK User:9 Request:9"
"47751.2898985765","0","CLICK User:1 Request:42"
"47937.7499095555","0","CLICK User:4 Request:30"
"47989.3880367477","0","CLICK User:5 Request:26"
"48063.5807064864","0","CLICK User:10 Request:5"
"48110.8752648731","0","CLICK User:6 Request:22"
"48188.9016620828","0","CLICK User:11 Request:1"
"48297.5542981021","0","CLICK User:2 Request:39"
"48359.4336710392","0","CLICK User:7 Request:18"
"48656.3750420794","0","CLICK User:8 Request:14"
"48719.2003452953","0","CLICK User:3 Request:35"
"48844.6520437653","0","CLICK User:9 Request:10"
"48923.6263268097","0","CLICK User:1 Request:43"
"49063.6712207836","0","CLICK User:4 Request:31"
"49112.6293984291","0","CLICK User:5 Request:27"
"49203.3532194734","0","CLICK User:10 Request:6"
"49250.292425434","0","CLICK User:6 Request:23"
"49313.3412207417","0","CLICK User:11 Request:2"
"49437.9430905325","0","CLICK User:2 Request:40"
"49484.5043154926","0","CLICK User:7 Request:19"
"49797.3030091813","0","CLICK User:8 Request:15"
"49875.3674000467","0","CLICK User:3 Request:36"
"49991.3743227142","0","CLICK User:9 Request:11"
"50032.2999152127","0","CLICK User:1 Request:44"
"50187.7741444793","0","CLICK User:4 Request:32"
"50250.7072826295","0","CLICK User:5 Request:28"
"50344.0596500393","0","CLICK User:10 Request:7"
"50396.0771550574","0","CLICK User:6 Request:24"
"50438.5021001273","0","CLICK User:11 Request:3"
"50578.432175039","0","CLICK User:2 Request:41"
"50625.2621492396","0","CLICK User:7 Request:20"
"50938.726569997","0","CLICK User:8 Request:16"
"51000.330768296","0","CLICK User:3 Request:37"
"51142.0253132731","0","CLICK User:9 Request:12"
"51187.9090778297","0","CLICK User:1 Request:45"
"51329.29520372","0","CLICK User:4 Request:33"
"51396.1531423687","0","CLICK User:5 Request:29"
"51470.094383504","0","CLICK User:10 Request:8"
"51532.5813755659","0","CLICK User:6 Request:25"
"51579.2744608603","0","CLICK User:11 Request:4"
"51688.8126842937","0","CLICK User:2 Request:42"
"51765.9406432941","0","CLICK User:7 Request:21"
"52063.5170112403","0","CLICK User:8 Request:17"
"52141.9099354806","0","CLICK User:3 Request:38"
"52282.2386644113","0","CLICK User:9 Request:13"
"52297.7328124105","0","CLICK User:1 Request:46"
"52469.1154881417","0","CLICK User:4 Request:34"
"52532.1748993238","0","CLICK User:5 Request:30"
"52610.8566870929","0","CLICK User:10 Request:9"
"52703.5399750527","0","CLICK User:6 Request:26"
"52736.0002458413","0","CLICK User:11 Request:5"
"52813.6587191948","0","CLICK User:2 Request:43"
"52907.4932707928","0","CLICK User:7 Request:22"
"53110.7691061294","0","CLICK User:12 Request:1"
"53204.0320767025","0","CLICK User:8 Request:18"
"53281.6654071956","0","CLICK User:3 Request:39"
"53423.3200029613","0","CLICK User:9 Request:14"
"53485.8324172486","0","CLICK User:1 Request:47"
"53609.7182742499","0","CLICK User:4 Request:35"
"53657.1653659893","0","CLICK User:5 Request:31"
"53751.1125017286","0","CLICK User:10 Request:10"
"53845.3571613152","0","CLICK User:6 Request:27"
"53972.7138505033","0","CLICK User:2 Request:44"
"53972.9619267253","0","CLICK User:11 Request:6"
"54048.7022792003","0","CLICK User:7 Request:23"
"54250.6248699206","0","CLICK User:12 Request:2"
"54360.5217981615","0","CLICK User:8 Request:19"
"54407.2721533044","0","CLICK User:3 Request:40"
"54594.1327738581","0","CLICK User:9 Request:15"
"54610.1641409732","0","CLICK User:1 Request:48"
"54781.7420929196","0","CLICK User:4 Request:36"
"54844.1237643332","0","CLICK User:5 Request:32"
"54925.0807015976","0","CLICK User:10 Request:11"
"54993.0820816612","0","CLICK User:6 Request:28"
"55079.2181687896","0","CLICK User:2 Request:45"
"55156.7165659323","0","CLICK User:11 Request:7"
"55174.0726824219","0","CLICK User:7 Request:24"
"55391.0038845719","0","CLICK User:12 Request:3"
"55484.7912234656","0","CLICK User:8 Request:20"
"55531.6818198961","0","CLICK User:3 Request:41"
"55724.4870507285","0","CLICK User:9 Request:16"
"55783.0271724479","0","CLICK User:1 Request:49"
"55906.8060326103","0","CLICK User:4 Request:37"
"55970.8175201038","0","CLICK User:5 Request:33"
"56048.144387066","0","CLICK User:10 Request:12"
"56094.3147802304","0","CLICK User:6 Request:29"
"56224.8682444277","0","CLICK User:2 Request:46"
"56298.6589077662","0","CLICK User:11 Request:8"
"56344.2512945081","0","CLICK User:7 Request:25"
"56501.2413588878","0","CLICK User:12 Request:4"
"56625.5599524521","0","CLICK User:8 Request:21"
"56688.156735004","0","CLICK User:3 Request:42"
"56859.8330234709","0","CLICK User:9 Request:17"
"56891.501573524","0","CLICK User:1 Request:50"
"57049.2646411765","0","CLICK User:4 Request:38"
"57110.9266680542","0","CLICK User:5 Request:34"
"57234.842696488","0","CLICK User:10 Request:13"
"57250.4407683099","0","CLICK User:6 Request:30"
"57348.2931489896","0","CLICK User:2 Request:47"
"57424.4545046926","0","CLICK User:11 Request:9"
"57485.5846203917","0","CLICK User:7 Request:26"
"57642.5825069946","0","CLICK User:12 Request:5"
"57767.1229164601","0","CLICK User:8 Request:22"
"57828.7259972985","0","CLICK User:3 Request:43"
"57938.5058715563","0","CLICK User:13 Request:1"
"58001.5731049617","0","CLICK User:9 Request:18"
"58047.4149647511","0","CLICK User:1 Request:51"
"58174.121571317","0","CLICK User:4 Request:39"
"58251.5585081344","0","CLICK User:5 Request:35"
"58407.2771818765","0","CLICK User:10 Request:14"
"58438.1408810338","0","CLICK User:6 Request:31"
"58453.5545718799","0","CLICK User:2 Request:48"
"58563.3872461444","0","CLICK User:11 Request:10"
"58610.7600267632","0","CLICK User:7 Request:27"
