"Vertical Axis: Transferred Data [kbit/s]","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"5.80168121926111","75.3821122573306",""
"10.8829527216448","135.005408026404",""
"15.9970669456593","194.538920178812",""
"21.1292653116527","267.730617937504",""
"26.2557900515289","326.203162767101",""
"31.3795960101074","385.888137654222",""
"36.5995342983536","400.805071391707",""
"41.7311669499895","510.032102776614",""
"46.8469615551697","578.846746432479",""
"52.0647386748875","564.696842697798",""
"57.1961226915711","685.983531567184",""
"62.3333367788364","754.199005279888",""
"67.5248776031591","785.26207458353",""
"72.7277318765374","790.30517889368",""
"77.9894318970707","870.864407038683",""
"83.2568058230865","929.369316661988",""
"88.464686433611","975.126095713731",""
"93.6913185893738","1029.65151216296",""
"99.0230462251487","1003.14512937557",""
"104.172947120374","1090.5998145025",""
"109.60819880739","1066.57592647447",""
"114.934544194863","1095.97402435142",""
"120.251195892215","1089.07880752274",""
"125.59706750439","1137.73586924826",""
"130.913503531873","1097.7355814038",""
"136.210793550577","1107.49482232392",""
"141.600911847735","1132.78728843638",""
"146.90918957577","1152.48571180518",""
"152.275904898528","1091.88936297724",""
"157.569259500858","1128.15678662857",""
"162.956688070691","1120.08881237727",""
"168.227766098764","1165.91756996997",""
"173.553986330665","1110.29315613779",""
"178.770606320077","1062.46548045925",""
"184.148176933102","1119.78716294613",""
"189.379621991063","1182.88262249683",""
"194.677111476459","1141.00005595675",""
"200.011699811009","1084.52090886026",""
"205.381796289752","1169.50013590332",""
"210.667483995871","1132.2118162291",""
"216.045719777234","1159.18893653547",""
"221.367079894232","1130.2849704183",""
"226.735261045747","1126.99653377294",""
"231.986131477604","1206.55014034773",""
"237.438863598586","1155.41443877627",""
"242.729119762428","1153.51787414623",""
"248.082529762861","1168.5830846475",""
"253.472253037746","1159.32105606013",""
"258.732501756508","1143.92455872697",""
"264.054680413293","1173.1517142313",""
"269.293791250005","1110.80089043309",""
"274.739094773218","1141.92502400121",""
"280.171711488471","1160.69604077046",""
"285.495339491472","1190.44493887204",""
"290.759369417063","1167.00987360908",""
"296.079228505299","1179.05594578788",""
"301.404735238697","1145.40238004329",""
"306.899883085699","1127.04074446044",""
"312.216482821141","1232.06187271415",""
"317.566144579828","1126.53619114599",""
"322.85332409566","1144.6590373363",""
"328.115724205171","1170.21309029307",""
"333.388437636627","1170.62783952325",""
"338.822411507608","1180.46841684839",""
"344.164134547827","1160.0605696179",""
"349.515293703529","1131.99533210076",""
"355.02365859348","1192.57667763026",""
"360.564234281173","1164.19960913221",""
"365.903436330595","1178.27710925878",""
"371.469211031011","1187.51558758636",""
"376.980203629232","1182.34441528069",""
"382.468840872234","1145.10258203609",""
"387.838890417637","1178.711224318",""
"393.254363892618","1175.01272028203",""
"398.616341462393","1181.45008825913",""
"403.96042178545","1166.34272155712",""
"409.281212556344","1165.32656413813",""
"414.610225321933","1177.93266316886",""
"419.965348668616","1160.83358580267",""
"425.344145135764","1197.27812231215",""
"430.670017558097","1138.99581952087",""
"436.015347481314","1187.31923258826",""
"441.450164476211","1142.16221826962",""
"446.86165616021","1209.16203022353",""
"452.269568338993","1185.26520534653",""
"457.688294462006","1133.6088902396",""
"463.09191643072","1128.46526168962",""
"468.326742924031","1207.7084138209",""
"473.868968262726","1164.84372815019",""
"479.267827056232","1187.95793010005",""
"484.594606297728","1123.01569170332",""
"489.936744474507","1161.88864159406",""
"495.267526459368","1147.5506222284",""
"500.665255220985","1220.81336542285",""
"506.053998203682","1142.1334503404",""
"511.387374093635","1173.9226213113",""
"516.706765245303","1154.90375975002",""
"521.990389840049","1152.15944903172",""
"527.230658645163","1182.6225637088",""
"532.614672255831","1141.45872937463",""
"537.927015863748","1172.23886414093",""
"543.319962732694","1157.88158845922",""
"548.814988497141","1170.91452665013",""
"554.275626371508","1121.16667188234",""
"559.727126212968","1206.75646975036",""
"565.042690341929","1152.78230702682",""
"570.30905464242","1146.27037522266",""
"575.758529924893","1209.10040950953",""
"581.086251464921","1120.40520696641",""
"586.512566541278","1220.10902605279",""
"591.904593460901","1140.30161818073",""
"597.415163100338","1205.47349085883",""
