"Vertical Axis: Server Bandwidth [kbit/s]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"5.78200004529208","75.3821122573306",""
"10.8600000618026","135.005408026404",""
"15.9380000783131","194.538920178812",""
"21.0629999404773","267.730617937504",""
"26.1879998026416","326.203162767101",""
"31.3130002934486","385.888137654222",""
"36.4380001556128","400.805071391707",""
"41.6570003377274","510.032102776614",""
"46.7970002442598","578.846746432479",""
"51.9070000620559","564.696842697798",""
"57.1250000735745","685.983531567184",""
"62.2660001507029","754.199005279888",""
"67.4070002278313","785.26207458353",""
"72.6100001949817","790.30517889368",""
"77.8439997928217","870.864407038683",""
"83.0940002342686","929.369316661988",""
"88.3909998927265","975.126095713731",""
"93.5630002291873","1029.65151216296",""
"98.7969998270273","1003.14512937557",""
"104.110000329092","1090.5998145025",""
"109.313000296243","1066.57592647447",""
"114.73499990534","1095.97402435142",""
"120.032000192441","1089.07880752274",""
"125.391000369564","1137.73586924826",""
"130.719000287354","1097.7355814038",""
"136.015999945812","1107.49482232392",""
"141.328999819234","1132.78728843638",""
"146.73499984201","1152.48571180518",""
"152.032000129111","1091.88936297724",""
"157.421999936923","1128.15678662857",""
"162.734999810345","1120.08881237727",""
"168.0789999431","1165.91756996997",""
"173.360000015236","1110.29315613779",""
"178.657000302337","1062.46548045925",""
"183.890999900177","1119.78716294613",""
"189.296999922954","1182.88262249683",""
"194.499999890104","1141.00005595675",""
"199.82899997849","1084.52090886026",""
"205.093999835663","1169.50013590332",""
"210.547000332735","1132.2118162291",""
"215.79700014554","1159.18893653547",""
"221.171999908984","1130.2849704183",""
"226.516000041738","1126.99653377294",""
"231.875000218861","1206.55014034773",""
"237.079000356607","1155.41443877627",""
"242.547000269406","1153.51787414623",""
"247.828999883495","1168.5830846475",""
"253.204000275582","1159.32105606013",""
"258.594000083394","1143.92455872697",""
"263.843999896199","1173.1517142313",""
"269.188000028953","1110.80089043309",""
"274.390999996103","1141.92502400121",""
"279.828999820165","1160.69604077046",""
"285.329000162892","1190.44493887204",""
"290.672000125051","1167.00987360908",""
"295.906999893487","1179.05594578788",""
"301.219000224955","1145.40238004329",""
"306.547000142746","1127.04074446044",""
"312.04699985683","1232.06187271415",""
"317.312999884598","1126.53619114599",""
"322.703999863006","1144.6590373363",""
"327.969000348821","1170.21309029307",""
"333.23500037659","1170.62783952325",""
"338.515999820083","1180.46841684839",""
"343.969000317156","1160.0605696179",""
"349.282000190578","1131.99533210076",""
"354.641000367701","1192.57667763026",""
"360.187999927439","1164.19960913221",""
"365.672000055201","1178.27710925878",""
"371.124999923632","1187.51558758636",""
"376.657000067644","1182.34441528069",""
"382.109999936074","1145.10258203609",""
"387.594000063837","1178.711224318",""
"392.968999827281","1175.01272028203",""
"398.374999850057","1181.45008825913",""
"403.797000087798","1166.34272155712",""
"409.07900033053","1165.32656413813",""
"414.374999818392","1177.93266316886",""
"419.688000320457","1160.83358580267",""
"425.157000403851","1197.27812231215",""
"430.50000036601","1138.99581952087",""
"435.828999825753","1187.31923258826",""
"441.157000372186","1142.16221826962",""
"446.625000284985","1209.16203022353",""
"452.016000263393","1185.26520534653",""
"457.391000026837","1133.6088902396",""
"462.843999895267","1128.46526168962",""
"468.204000242986","1207.7084138209",""
"473.500000359491","1164.84372815019",""
"479.000000073574","1187.95793010005",""
"484.422000311315","1123.01569170332",""
"489.735000184737","1161.88864159406",""
"495.031999843195","1147.5506222284",""
"500.391000020318","1220.81336542285",""
"505.797000043094","1142.1334503404",""
"511.171999806538","1173.9226213113",""
"516.515999939293","1154.90375975002",""
"521.860000072047","1152.15944903172",""
"527.141000144184","1182.6225637088",""
"532.407000171952","1141.45872937463",""
"537.718999874778","1172.23886414093",""
"543.046999792568","1157.88158845922",""
"548.438000399619","1170.91452665013",""
"554.000000003725","1121.16667188234",""
"559.437999827787","1206.75646975036",""
"564.906999911182","1152.78230702682",""
"570.157000352629","1146.27037522266",""
"575.500000314787","1209.10040950953",""
"580.875000078231","1120.40520696641",""
"586.234999797307","1220.10902605279",""
"591.640999820083","1140.30161818073",""
"597.063000057824","1205.47349085883",""
