"Vertical Axis: Errors [%]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"5.78200004529208","0",""
"10.8600000618026","0",""
"15.9380000783131","0",""
"21.0629999404773","0",""
"26.1879998026416","0",""
"31.3130002934486","0",""
"36.4380001556128","0",""
"41.6570003377274","0",""
"46.7970002442598","0",""
"51.9070000620559","0",""
"57.1250000735745","0",""
"62.2660001507029","0",""
"67.4070002278313","0",""
"72.6100001949817","0",""
"77.8439997928217","0",""
"83.0940002342686","0",""
"88.3909998927265","0",""
"93.5630002291873","0",""
"98.7969998270273","0",""
"104.110000329092","0",""
"109.313000296243","0",""
"114.73499990534","0",""
"120.032000192441","0",""
"125.391000369564","0",""
"130.719000287354","0",""
"136.015999945812","0",""
"141.328999819234","0",""
"146.73499984201","0",""
"152.032000129111","0",""
"157.421999936923","0",""
"162.734999810345","0",""
"168.0789999431","0",""
"173.360000015236","0",""
"178.657000302337","0",""
"183.890999900177","0",""
"189.296999922954","0",""
"194.499999890104","0",""
"199.82899997849","0",""
"205.093999835663","0",""
"210.547000332735","0",""
"215.79700014554","0",""
"221.171999908984","0",""
"226.516000041738","0",""
"231.875000218861","0",""
"237.079000356607","0",""
"242.547000269406","0",""
"247.828999883495","0",""
"253.204000275582","0",""
"258.594000083394","0",""
"263.843999896199","0",""
"269.188000028953","0",""
"274.390999996103","0",""
"279.828999820165","0",""
"285.329000162892","0",""
"290.672000125051","0",""
"295.906999893487","0",""
"301.219000224955","0",""
"306.547000142746","0",""
"312.04699985683","0",""
"317.312999884598","0",""
"322.703999863006","0",""
"327.969000348821","0",""
"333.23500037659","0",""
"338.515999820083","0",""
"343.969000317156","0",""
"349.282000190578","0",""
"354.641000367701","0",""
"360.187999927439","0",""
"365.672000055201","0",""
"371.124999923632","0",""
"376.657000067644","0",""
"382.109999936074","0",""
"387.594000063837","0",""
"392.968999827281","0",""
"398.374999850057","0",""
"403.797000087798","0",""
"409.07900033053","0",""
"414.374999818392","0",""
"419.688000320457","0",""
"425.157000403851","0",""
"430.50000036601","0",""
"435.828999825753","0",""
"441.157000372186","0",""
"446.625000284985","0",""
"452.016000263393","0",""
"457.391000026837","0",""
"462.843999895267","0",""
"468.204000242986","0",""
"473.500000359491","0",""
"479.000000073574","0",""
"484.422000311315","0",""
"489.735000184737","0",""
"495.031999843195","0",""
"500.391000020318","0",""
"505.797000043094","0",""
"511.171999806538","0",""
"516.515999939293","0",""
"521.860000072047","0",""
"527.141000144184","0",""
"532.407000171952","0",""
"537.718999874778","0",""
"543.046999792568","0",""
"548.438000399619","0",""
"554.000000003725","0",""
"559.437999827787","0",""
"564.906999911182","0",""
"570.157000352629","0",""
"575.500000314787","0",""
"580.875000078231","0",""
"586.234999797307","0",""
"591.640999820083","0",""
"597.063000057824","0",""
