"Vertical Axis: Click Time [ms]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"5.78200004529208","232.6",""
"10.8600000618026","226.555555555556",""
"15.9380000783131","225.615384615385",""
"21.0629999404773","227.611111111111",""
"26.1879998026416","226.636363636364",""
"31.3130002934486","267.076923076923",""
"36.4380001556128","254.777777777778",""
"41.6570003377274","249.828571428571",""
"46.7970002442598","288.153846153846",""
"51.9070000620559","294.763157894737",""
"57.1250000735745","269.574468085106",""
"62.2660001507029","268.333333333333",""
"67.4070002278313","274.811320754717",""
"72.6100001949817","296.12962962963",""
"77.8439997928217","368.933333333333",""
"83.0940002342686","358.625",""
"88.3909998927265","360.661764705882",""
"93.5630002291873","402.857142857143",""
"98.7969998270273","431.811594202899",""
"104.110000329092","453.868421052632",""
"109.313000296243","501.602739726027",""
"114.73499990534","560.74358974359",""
"120.032000192441","636.065789473684",""
"125.391000369564","720.65",""
"130.719000287354","727.766233766234",""
"136.015999945812","831.597402597403",""
"141.328999819234","898.696202531646",""
"146.73499984201","980.353658536585",""
"152.032000129111","1030.67105263158",""
"157.421999936923","1125.025",""
"162.734999810345","1171.58974358974",""
"168.0789999431","1232.28048780488",""
"173.360000015236","1325.12987012987",""
"178.657000302337","1419.39189189189",""
"183.890999900177","1512.92207792208",""
"189.296999922954","1612.82142857143",""
"194.499999890104","1606.92307692308",""
"199.82899997849","1600.03947368421",""
"205.093999835663","1731.32098765432",""
"210.547000332735","1777.06172839506",""
"215.79700014554","1829.8125",""
"221.171999908984","1909.4375",""
"226.516000041738","1993.10126582278",""
"231.875000218861","2030.25882352941",""
"237.079000356607","2153.3417721519",""
"242.547000269406","2153.6265060241",""
"247.828999883495","2278.11111111111",""
"253.204000275582","2270.32926829268",""
"258.594000083394","2396.91358024691",""
"263.843999896199","2484.76543209877",""
"269.188000028953","2516.57692307692",""
"274.390999996103","2636.26923076923",""
"279.828999820165","2715.40963855422",""
"285.329000162892","2744.60465116279",""
"290.672000125051","2671.87804878049",""
"295.906999893487","2888.33333333333",""
"301.219000224955","3091.525",""
"306.547000142746","3211.75949367089",""
"312.04699985683","2979.25842696629",""
"317.312999884598","3317.42307692308",""
"322.703999863006","3119.65432098765",""
"327.969000348821","3435.08641975309",""
"333.23500037659","3363.23456790123",""
"338.515999820083","3418.84146341463",""
"343.969000317156","3576.67469879518",""
"349.282000190578","3444.9746835443",""
"354.641000367701","3873.72619047619",""
"360.187999927439","3668.69411764706",""
"365.672000055201","3836.11764705882",""
"371.124999923632","3802.77647058824",""
"376.657000067644","3891.74418604651",""
"382.109999936074","4093.70731707317",""
"387.594000063837","4007.10588235294",""
"392.968999827281","4290.67469879518",""
"398.374999850057","4167.96428571429",""
"403.797000087798","4220.36144578313",""
"409.07900033053","4456.06172839506",""
"414.374999818392","4433.01219512195",""
"419.688000320457","4546.13580246914",""
"425.157000403851","4518.5",""
"430.50000036601","4808.2625",""
"435.828999825753","4650.67469879518",""
"441.157000372186","4589.2375",""
"446.625000284985","4980.03448275862",""
"452.016000263393","4955.17857142857",""
"457.391000026837","5135.05",""
"462.843999895267","5135.45679012346",""
"468.204000242986","5161.57647058824",""
"473.500000359491","5334.65432098765",""
"479.000000073574","5266.05813953488",""
"484.422000311315","5421.95",""
"489.735000184737","5399.95061728395",""
"495.031999843195","5487.575",""
"500.391000020318","5406.46511627907",""
"505.797000043094","5387.43209876543",""
"511.171999806538","5534.03614457831",""
"516.515999939293","5514.48148148148",""
"521.860000072047","5399.24691358025",""
"527.141000144184","5349.71951219512",""
"532.407000171952","5727.53164556962",""
"537.718999874778","5331.4756097561",""
"543.046999792568","5483.11111111111",""
"548.438000399619","5464.10843373494",""
"554.000000003725","5555.39024390244",""
"559.437999827787","5394.91860465116",""
"564.906999911182","5348.07228915663",""
"570.157000352629","5568.98734177215",""
"575.500000314787","5249.23529411765",""
"580.875000078231","5604.46835443038",""
"586.234999797307","5331.11627906977",""
"591.640999820083","5433.53086419753",""
"597.063000057824","5362.39534883721",""
