"Vertical Axis: Sent/Received Requests/s","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"10.8830898899162","1.77121343047326",""
"15.9982553648578","2.54146836570185",""
"21.1294315338961","3.70285917535632",""
"26.2559280578956","4.29143448640787",""
"31.379762791081","5.07433249978954",""
"36.599793269815","5.17238968233445",""
"41.7313954706534","6.62561893743727",""
"46.8470953710597","7.62359943197456",""
"52.0650096590488","7.66590727773927",""
"57.196321878898","8.76969710102075",""
"62.3337429757134","9.92717109972267",""
"67.5250396349257","10.5946675302768",""
"72.7488300887403","10.3373356114871",""
"77.9897640621923","11.2575492523082",""
"83.2571340770964","11.9604419911655",""
"88.4649244526888","13.0573766121156",""
"93.6956009772192","13.5737859322709",""
"99.0253884222715","13.8842469978287",""
"104.173139602938","13.5981863379359",""
"109.624464841202","13.7581379352544",""
"114.935112982237","14.6874874570515",""
"120.257215372345","15.0316749881553",""
"125.603644317923","14.4021539093394",""
"130.913771163653","14.5006120113957",""
"136.213703138248","14.717187093383",""
"141.610452725137","14.2678644686",""
"146.91410416687","15.6496145093327",""
"152.297071834549","14.3043935369719",""
"157.593543592831","14.9156070828233",""
"162.973633241096","14.8696584580634",""
"168.227970035298","14.8448975184273",""
"173.558573505851","14.6326146278083",""
"178.770810535976","13.8136635655938",""
"184.148367739475","15.0626184920235",""
"189.381705775455","15.2866357642352",""
"194.678171387704","14.7268174653647",""
"200.015111138427","14.8025098787984",""
"205.428125921032","15.1486942293098",""
"210.668681913483","15.0747540458912",""
"216.062383626969","15.017532004104",""
"221.377066917723","15.0526555097803",""
"226.741546202101","14.9129284652959",""
"231.986283172861","15.6347394633464",""
"237.457164807259","14.9884602883741",""
"242.731565324643","15.5468102900805",""
"248.083458093138","14.9480005499726",""
"253.478735425871","15.3838420957575",""
"258.732743127967","15.2264903997643",""
"264.077777762257","14.9671793472665",""
"269.300252965111","14.7439847476701",""
"274.743396157892","15.7997107979509",""
"280.172141431383","14.9209280187534",""
"285.495985383617","15.590257070438",""
"290.770966142345","14.97637618838",""
"296.10641659764","15.5563426753242",""
"301.405254578445","15.0976680733254",""
"306.930964969011","15.3826546334042",""
"312.216926173578","15.512807699973",""
"317.573197990247","14.7490824724131",""
"322.867320846644","14.9222256498605",""
"328.134734163141","15.9471257369429",""
"333.389202258946","15.03484020913",""
"338.845003764445","15.7630545747625",""
"344.16557886547","15.2239429584567",""
"349.515747392476","14.9528179671337",""
"355.044544208831","15.7358100871855",""
"360.567332440296","14.8475892641664",""
"365.905013905399","15.7371888275623",""
"371.474840238075","15.0812775634321",""
"376.984567871056","16.1532674062527",""
"382.470068961279","15.1308133257715",""
"387.839344944679","14.8996066035084",""
"393.256896896114","15.5051765778956",""
"398.636109617284","15.4297848280498",""
"403.972349837759","15.741440053676",""
"409.281440238913","15.445224837201",""
"414.610604979124","15.5746921177553",""
"419.99761645684","14.8505491693707",""
"425.344373656428","15.7104785157291",""
"430.689854716172","15.1530050695173",""
"436.030191267326","15.5421095144982",""
"441.463429569959","15.2763596590523",""
"446.862058725341","15.9299929913197",""
"452.272560898103","14.9709071143618",""
"457.688768823971","14.9551065404387",""
"463.096691897993","15.5328840801589",""
"468.327806187658","15.2930957368548",""
"473.893085573725","14.9146922167328",""
"479.2680787642","16.000043555089",""
"484.602002768508","14.8108767512113",""
"489.938845020806","15.1775318535479",""
"495.281802016737","15.3473244099854",""
"500.671698497993","15.5847334786891",""
"506.059229315458","15.40596113392",""
"511.388292366767","15.5749884970847",""
"516.722311634579","14.8106122344231",""
"521.990948570279","15.1842115030781",""
"527.230865654713","15.6491217762635",""
"532.615308928928","15.0433559301175",""
"537.927207228852","16.0018308989455",""
"543.321598974171","14.6447543136619",""
"548.825992130285","15.8057736320033",""
"554.287529560321","14.4648070020979",""
"559.734971623488","15.4200995818269",""
"565.0573014168","15.5946923750926",""
"570.309618121856","14.8506125379803",""
"575.770612745475","15.9311825702802",""
"581.08675990943","15.0485105519811",""
"586.512985868316","16.2175524703532",""
"591.906917499291","14.4607129441023",""
"597.4406733258","16.0831271992668",""
