"Vertical Axis: Sent/Received Requests/s","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"10.8830736867395","1.77121907855321",""
"15.9982360886649","2.73697624644918",""
"21.1294220354822","3.50797815303687",""
"26.2559160451957","4.2914443085169",""
"31.3797532926671","5.07434190646998",""
"36.5997826539407","5.93868171266849",""
"41.7313845754139","6.23588988684036",""
"46.8470858726458","7.23265904397716",""
"52.0649987638094","8.24086797210598",""
"57.1963118217539","8.57483174952995",""
"62.3337329185693","9.73253973868779",""
"67.5250290190513","10.7873204889352",""
"72.7488144442939","11.2945283295953",""
"77.9897542844132","10.8759577040657",""
"83.2571240199523","11.9604654620069",""
"88.4649121606238","13.0574081322953",""
"93.6955861708681","13.0002824812439",""
"99.025375012746","14.259532793127",""
"104.173128707699","14.1809949970011",""
"109.624449196755","14.6753862387442",""
"114.935103483823","13.9343100934852",""
"120.257199169168","14.4680312241806",""
"125.603630349667","14.9633158826213",""
"130.913761385874","14.8772786786632",""
"136.21368414142","14.717239845229",""
"141.610430096563","15.3797098065748",""
"146.914087963694","14.7069115784401",""
"152.297058425023","14.4902017302433",""
"157.593526551559","15.2932641745327",""
"162.97361871411","14.8696986083537",""
"168.227959978154","15.035245495858",""
"173.558558420134","14.8202541932207",""
"178.770799920102","15.1566886920921",""
"184.148356564871","14.6907294607814",""
"189.381687616722","14.5223528155716",""
"194.678147362304","14.9156912636487",""
"200.015092979694","15.1773078101462",""
"205.428110835316","15.5182170237776",""
"210.668666269037","15.0747982445932",""
"216.062367423793","16.315393269915",""
"221.377051552641","15.6171752416807",""
"226.741524690987","15.2858129718349",""
"231.986273953813","14.8720953873972",""
"237.457146927892","15.9024427645335",""
"242.731548004006","15.167667997714",""
"248.083441051866","14.574346943302",""
"253.478719781425","15.013190638631",""
"258.732733350188","15.607181704969",""
"264.07776044162","15.9026804204967",""
"269.300230615902","15.5099715774857",""
"274.743275751527","15.2488969782313",""
"280.172131653604","14.5525362543519",""
"285.495973929648","15.9659602654706",""
"290.770942675675","15.3555916382683",""
"296.106400953194","15.7438146542798",""
"301.405243683206","15.4751415945081",""
"306.93095016266","15.0207500672162",""
"312.216914998973","16.0803800398884",""
"317.573182904531","15.3092173296958",""
"322.867298497435","15.6778475632872",""
"328.13471935679","15.5674752005689",""
"333.389191922437","14.6542401707054",""
"338.844988678729","15.9463932662499",""
"344.165567132135","15.0360262040261",""
"349.515736776602","15.5135794231853",""
"355.044529681845","15.3741077222747",""
"360.56731623712","15.3908381257717",""
"365.904997981587","16.4866288189449",""
"371.474823755533","14.5427028138074",""
"376.984553623435","16.6978035916097",""
"382.470046053339","14.5839758771563",""
"387.839326785946","16.3896226931473",""
"393.256876502461","15.5052349453584",""
"398.636085591884","14.8721474137637",""
"403.972330561566","15.7414969170292",""
"409.281429064308","15.4452573465068",""
"414.610594083885","16.3253130661096",""
"419.997596901282","14.8506061596258",""
"425.344363040554","15.7105097086592",""
"430.689833484423","15.7142866102089",""
"436.030170035577","16.2911907577565",""
"441.463409176306","14.7242573485646",""
"446.862046712641","15.3743257935364",""
"452.272542739371","14.786130725907",""
"457.688705687455","16.0630604004206",""
"463.096671224974","14.9781947043972",""
"468.327791660672","16.0578277040748",""
"473.893062107056","14.5553634205506",""
"479.268068148326","15.8140277705301",""
"484.601979581204","15.1859016715938",""
"489.938824068422","16.3018566199651",""
"495.281779108797","14.7858995531144",""
"500.67167698688","14.8426625502759",""
"506.059208642439","15.5916349517294",""
"511.388280633432","15.575022789636",""
"516.722291799656","14.9981441103669",""
"521.990935160754","15.3740532763442",""
"527.230855597569","15.0766218678791",""
"532.615294681307","14.3005119960103",""
"537.927195774882","16.5666371237033",""
"543.321539748767","14.2742420292363",""
"548.825973692187","15.9875035565856",""
"554.287510563493","14.4648580550656",""
"559.734950112375","14.8694396942654",""
"565.057279346956","16.1584195657416",""
"570.309605829791","15.2314331212275",""
"575.770590675631","16.1143647353402",""
"581.08674845546","14.672329400666",""
"586.512973296886","15.2961360634354",""
"591.906900178654","15.2023359963074",""
"597.440654608337","16.263892326011",""
