"Vertical Axis: Average Request Time [ms]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"5.78200004529208","232.603696838565",""
"10.8600000618026","226.490052041065",""
"15.9380000783131","225.611763936048",""
"21.0629999404773","227.618392219619",""
"26.1879998026416","226.734733553617",""
"31.3130002934486","267.134230747204",""
"36.4380001556128","254.837561343276",""
"41.6570003377274","249.823722608001",""
"46.7970002442598","288.183511075806",""
"51.9070000620559","294.824871523292",""
"57.1250000735745","269.537686101375",""
"62.2660001507029","268.382877777844",""
"67.4070002278313","274.813297790008",""
"72.6100001949817","296.066378806783",""
"77.8439997928217","368.95247859714",""
"83.0940002342686","358.64899990781",""
"88.3909998927265","360.698410322114",""
"93.5630002291873","402.843509839539",""
"98.7969998270273","431.762040196146",""
"104.110000329092","453.849504248224",""
"109.313000296243","501.54510530601",""
"114.73499990534","560.799103854017",""
"120.032000192441","636.108753457419",""
"125.391000369564","720.696006755049",""
"130.719000287354","727.706494221233",""
"136.015999945812","831.528827586427",""
"141.328999819234","898.731351737636",""
"146.73499984201","980.332941211461",""
"152.032000129111","1030.69000389714",""
"157.421999936923","1125.00665587386",""
"162.734999810345","1171.62090254201",""
"168.0789999431","1232.31441153663",""
"173.360000015236","1325.12188436922",""
"178.657000302337","1419.4197073137",""
"183.890999900177","1512.88783292907",""
"189.296999922954","1612.86536882946",""
"194.499999890104","1606.93036799441",""
"199.82899997849","1600.08337578335",""
"205.093999835663","1731.26088219813",""
"210.547000332735","1777.0279721564",""
"215.79700014554","1829.80475172124",""
"221.171999908984","1909.4035380195",""
"226.516000041738","1993.08709255195",""
"231.875000218861","2030.28645195047",""
"237.079000356607","2153.29965828519",""
"242.547000269406","2153.57841047544",""
"247.828999883495","2278.05672384495",""
"253.204000275582","2270.30404020895",""
"258.594000083394","2396.93889986604",""
"263.843999896199","2484.79773508699",""
"269.188000028953","2516.60401903966",""
"274.390999996103","2636.23234094607",""
"279.828999820165","2715.42391796548",""
"285.329000162892","2744.59903261058",""
"290.672000125051","2671.8471032001",""
"295.906999893487","2888.29593125921",""
"301.219000224955","3091.52679670182",""
"306.547000142746","3211.76834740558",""
"312.04699985683","2979.29293662504",""
"317.312999884598","3317.42063550478",""
"322.703999863006","3119.62999159715",""
"327.969000348821","3435.09565987497",""
"333.23500037659","3363.18758286215",""
"338.515999820083","3418.84929236646",""
"343.969000317156","3576.69464519511",""
"349.282000190578","3445.01631465749",""
"354.641000367701","3873.6753354327",""
"360.187999927439","3668.73522949392",""
"365.672000055201","3836.10351397766",""
"371.124999923632","3802.77073992234",""
"376.657000067644","3891.70289831886",""
"382.109999936074","4093.70716451256",""
"387.594000063837","4007.07989423237",""
"392.968999827281","4290.63456557303",""
"398.374999850057","4167.9771384884",""
"403.797000087798","4220.33593251158",""
"409.07900033053","4456.08524733358",""
"414.374999818392","4432.96818722941",""
"419.688000320457","4546.13091818398",""
"425.157000403851","4518.48541098523",""
"430.50000036601","4808.26544295434",""
"435.828999825753","4650.6743141801",""
"441.157000372186","4589.23492720443",""
"446.625000284985","4980.06707749073",""
"452.016000263393","4955.198070199",""
"457.391000026837","5135.09376540873",""
"462.843999895267","5135.43625251082",""
"468.204000242986","5161.65066329084",""
"473.500000359491","5334.69007863593",""
"479.000000073574","5266.048686128",""
"484.422000311315","5421.96654882115",""
"489.735000184737","5399.94941766945",""
"495.031999843195","5487.56311207151",""
"500.391000020318","5406.52047923331",""
"505.797000043094","5387.40271303879",""
"511.171999806538","5534.02891432304",""
"516.515999939293","5514.53545142445",""
"521.860000072047","5399.28140394559",""
"527.141000144184","5349.78608638399",""
"532.407000171952","5727.52894783972",""
"537.718999874778","5331.45340143891",""
"543.046999792568","5483.08673757402",""
"548.438000399619","5464.1041054437",""
"554.000000003725","5555.37124233905",""
"559.437999827787","5394.87482607491",""
"564.906999911182","5348.06051862922",""
"570.157000352629","5568.97904303692",""
"575.500000314787","5249.25709174506",""
"580.875000078231","5604.47072590426",""
"586.234999797307","5331.15044146023",""
"591.640999820083","5433.48309890203",""
"597.063000057824","5362.41459426749",""
