"Vertical Axis: Bandwidth [kbit/s]","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"5.80166445735422","75.3821122573306",""
"10.882943502596","135.005408026404",""
"15.9970552123245","194.538920178812",""
"21.1292555338737","267.730617937504",""
"26.2557799943848","326.203162767101",""
"31.3795865116935","385.888137654222",""
"36.5995211681932","400.805071391707",""
"41.7311532610988","510.032102776614",""
"46.846952615486","578.846746432479",""
"52.0647263828224","564.696842697798",""
"57.1961036947433","685.983531567184",""
"62.3333247661365","754.199005279888",""
"67.5248641936335","785.26207458353",""
"72.7277053368515","790.30517889368",""
"77.9894182081801","870.864407038683",""
"83.2567918548307","929.369316661988",""
"88.4646721859901","975.126095713731",""
"93.6913076941343","1029.65151216296",""
"99.0230339330837","1003.14512937557",""
"104.172932872753","1090.5998145025",""
"109.608185956595","1066.57592647447",""
"114.934531623433","1095.97402435142",""
"120.251183320785","1089.07880752274",""
"125.597054932959","1137.73586924826",""
"130.913489284253","1097.7355814038",""
"136.210779582321","1107.49482232392",""
"141.600897320749","1132.78728843638",""
"146.90917644561","1152.48571180518",""
"152.275891209637","1091.88936297724",""
"157.569239107205","1128.15678662857",""
"162.9566743818","1120.08881237727",""
"168.227754365429","1165.91756996997",""
"173.553973200505","1110.29315613779",""
"178.770592072456","1062.46548045925",""
"184.148163523576","1119.78716294613",""
"189.379609698998","1182.88262249683",""
"194.677093317726","1141.00005595675",""
"200.010132572715","1084.52090886026",""
"205.381782321496","1169.50013590332",""
"210.667470586345","1132.2118162291",""
"216.045706088344","1159.18893653547",""
"221.367065087881","1130.2849704183",""
"226.735247915587","1126.99653377294",""
"231.986118906174","1206.55014034773",""
"237.438847395409","1155.41443877627",""
"242.729107470363","1153.51787414623",""
"248.08251439778","1168.5830846475",""
"253.472239069491","1159.32105606013",""
"258.732490581904","1143.92455872697",""
"264.054667562497","1173.1517142313",""
"269.293771694447","1110.80089043309",""
"274.739081643058","1141.92502400121",""
"280.171697520216","1160.69604077046",""
"285.495324685121","1190.44493887204",""
"290.759355728172","1167.00987360908",""
"296.079215095773","1179.05594578788",""
"301.404722667266","1145.40238004329",""
"306.899868558713","1127.04074446044",""
"312.216465500504","1232.06187271415",""
"317.566131170302","1126.53619114599",""
"322.853308171849","1144.6590373363",""
"328.115709678185","1170.21309029307",""
"333.388421712815","1170.62783952325",""
"338.822398656813","1180.46841684839",""
"344.164121697031","1160.0605696179",""
"349.514276535146","1131.99533210076",""
"355.02364546332","1192.57667763026",""
"360.56421668117","1164.19960913221",""
"365.90342403853","1178.27710925878",""
"371.469198459581","1187.51558758636",""
"376.980189940342","1182.34441528069",""
"382.468827742073","1145.10258203609",""
"387.838873376365","1178.711224318",""
"393.254349644997","1175.01272028203",""
"398.616326097311","1181.45008825913",""
"403.960410052116","1166.34272155712",""
"409.281199146819","1165.32656413813",""
"414.610211912408","1177.93266316886",""
"419.965332465439","1160.83358580267",""
"425.344132284969","1197.27812231215",""
"430.670004707302","1138.99581952087",""
"436.015334630519","1187.31923258826",""
"441.450151904781","1142.16221826962",""
"446.861643309415","1209.16203022353",""
"452.269555208832","1185.26520534653",""
"457.688280214385","1133.6088902396",""
"463.091902462464","1128.46526168962",""
"468.32672923514","1207.7084138209",""
"473.868955132566","1164.84372815019",""
"479.267814484802","1187.95793010005",""
"484.594593167567","1123.01569170332",""
"489.936729668156","1161.88864159406",""
"495.267513887938","1147.5506222284",""
"500.665241811459","1220.81336542285",""
"506.053985073522","1142.1334503404",""
"511.387359846014","1173.9226213113",""
"516.706752673873","1154.90375975002",""
"521.990376151159","1152.15944903172",""
"527.230644118177","1182.6225637088",""
"532.614659963766","1141.45872937463",""
"537.927000219302","1172.23886414093",""
"543.319950440629","1157.88158845922",""
"548.814974808251","1170.91452665013",""
"554.275613241348","1121.16667188234",""
"559.727113920903","1206.75646975036",""
"565.042676373673","1152.78230702682",""
"570.309041232894","1146.27037522266",""
"575.758515677272","1209.10040950953",""
"581.086238614126","1120.40520696641",""
"586.512550896832","1220.10902605279",""
"591.904582006931","1140.30161818073",""
"597.415149970178","1205.47349085883",""
