"Vertical Axis: Avg. User Bandwidth [kbit/s]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"5.78200004529208","327.951532814278",""
"10.8600000618026","336.636667526575",""
"15.9380000783131","337.732139874083",""
"21.0629999404773","335.747288144922",""
"26.1879998026416","336.220896369432",""
"31.3130002934486","299.473669362467",""
"36.4380001556128","302.133920720552",""
"41.6570003377274","308.443328079448",""
"46.7970002442598","274.218344700177",""
"51.9070000620559","273.917055463198",""
"57.1250000735745","289.403423352063",""
"62.2660001507029","288.127351467644",""
"67.4070002278313","281.95317995987",""
"72.6100001949817","266.583530511505",""
"77.8439997928217","229.37284934649",""
"83.0940002342686","232.653257118594",""
"88.3909998927265","226.203186593501",""
"93.5630002291873","202.641421640786",""
"98.7969998270273","195.180576112534",""
"104.110000329092","174.140311558613",""
"109.313000296243","162.734971961812",""
"114.73499990534","146.522117616748",""
"120.032000192441","125.975718346916",""
"125.391000369564","110.949757046808",""
"130.719000287354","112.804707538027",""
"136.015999945812","93.9052726435585",""
"141.328999819234","87.438422102167",""
"146.73499984201","79.6467529318986",""
"152.032000129111","75.9400507571969",""
"157.421999936923","69.7150863524679",""
"162.734999810345","66.9390743420664",""
"168.0789999431","63.6993977348816",""
"173.360000015236","59.1981843100433",""
"178.657000302337","55.8769839229125",""
"183.890999900177","51.8143867731063",""
"189.296999922954","48.7759829364532",""
"194.499999890104","48.5893949540704",""
"199.82899997849","48.4188128795393",""
"205.093999835663","44.7058108106989",""
"210.547000332735","44.40406981243",""
"215.79700014554","42.4852948939928",""
"221.171999908984","40.5878581169172",""
"226.516000041738","39.1498746661843",""
"231.875000218861","38.659974491787",""
"237.079000356607","36.9604830393313",""
"242.547000269406","37.3302163676513",""
"247.828999883495","36.6013123866082",""
"253.204000275582","36.7249040546951",""
"258.594000083394","36.6107130932585",""
"263.843999896199","35.1824930115136",""
"269.188000028953","35.0782882451243",""
"274.390999996103","34.2170419588919",""
"279.828999820165","33.9615535376578",""
"285.329000162892","33.1166777891642",""
"290.672000125051","32.9898293493723",""
"295.906999893487","30.6497555522763",""
"301.219000224955","29.3007586251356",""
"306.547000142746","28.3999240755904",""
"312.04699985683","29.3695072402422",""
"317.312999884598","26.104249223992",""
"322.703999863006","26.865461341762",""
"327.969000348821","24.8381655501729",""
"333.23500037659","24.4837538903887",""
"338.515999820083","24.5407424650435",""
"343.969000317156","23.2813362180391",""
"349.282000190578","24.4043700338097",""
"354.641000367701","21.7322988065869",""
"360.187999927439","22.3690507667129",""
"365.672000055201","21.5223309761978",""
"371.124999923632","21.4520298859268",""
"376.657000067644","21.2258083549148",""
"382.109999936074","20.052382177768",""
"387.594000063837","20.4750794356475",""
"392.968999827281","19.1511135715903",""
"398.374999850057","19.5078045324851",""
"403.797000087798","19.0685402632137",""
"409.07900033053","18.3542756758907",""
"414.374999818392","18.1371798801201",""
"419.688000320457","18.0179376222826",""
"425.157000403851","17.6666078550093",""
"430.50000036601","16.6002999733397",""
"435.828999825753","17.3326461304916",""
"441.157000372186","17.3291658952332",""
"446.625000284985","16.6010707098169",""
"452.016000263393","15.9608279745461",""
"457.391000026837","15.6915465176312",""
"462.843999895267","15.3390285278989",""
"468.204000242986","15.6877345393435",""
"473.500000359491","15.0344048875658",""
"479.000000073574","15.326744348876",""
"484.422000311315","14.6944339105763",""
"489.735000184737","14.846439903022",""
"495.031999843195","14.6383486940335",""
"500.391000020318","14.7354815084345",""
"505.797000043094","14.7368524964678",""
"511.171999806538","14.4546581417234",""
"516.515999939293","14.442188244575",""
"521.860000072047","14.6297618107702",""
"527.141000144184","14.8321161917564",""
"532.407000171952","13.9364722618001",""
"537.718999874778","14.9287303883206",""
"543.046999792568","14.4567413577179",""
"548.438000399619","14.5999540940844",""
"554.000000003725","14.2921857948287",""
"559.437999827787","14.5974332109556",""
"564.906999911182","14.8702894056944",""
"570.157000352629","14.5431838566559",""
"575.500000314787","15.103023478573",""
"580.875000078231","14.176436133479",""
"586.234999797307","14.8826584177705",""
"591.640999820083","14.6978552017105",""
"597.063000057824","14.7739746854308",""
