"Vertical Axis: Avg. User Bandwidth [kbit/s]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"5.28100007213652","82.7381351340299",""
"10.3750003036112","82.5175601761096",""
"15.4530003201216","83.0858838346626",""
"20.5780001822859","81.6496445217916",""
"25.688000000082","83.2778971220158",""
"30.8129998622462","82.4428338094998",""
"35.9380003530532","81.2363664054651",""
"41.0630002152175","81.4754230222942",""
"46.2190003367141","77.0901837035887",""
"51.374999829568","79.4921937692119",""
"56.5159999066964","78.8494936853934",""
"61.6409997688606","77.1965207561268",""
"66.7969998903573","79.4162904046743",""
"71.969000226818","77.0456355375962",""
"77.1090001333505","77.2202272245915",""
"82.2339999955148","75.1463283462027",""
"87.4060003319755","72.0867729740306",""
"92.6090002991259","72.4037679913564",""
"97.7500003762543","68.1686442115255",""
"102.905999869108","67.1553646616998",""
"108.141000266187","63.6596386395536",""
"113.374999864027","62.745459723035",""
"118.562999786809","59.2750528979116",""
"123.828000272624","64.9205434910777",""
"129.031000239775","64.8451696152012",""
"134.281000052579","73.8752327360622",""
"139.484000019729","101.402384810926",""
"144.671999942511","120.375052604447",""
"149.999999860302","96.3085319738301",""
"155.26599988807","87.0120771093424",""
"160.546999960206","97.545120652328",""
"165.781000186689","147.675079549554",""
"171.030999999493","201.485167976789",""
"176.328000286594","140.99107515184",""
"181.609000358731","156.065347877762",""
"186.875000386499","129.817230172039",""
"192.172000044957","151.268361911285",""
"197.391000227071","190.664893752438",""
"202.687999885529","194.179154229984",""
"207.89099985268","227.684435893161",""
"213.156000338495","243.144494680687",""
"218.469000211917","222.007827832071",""
"223.797000129707","223.165678764796",""
"229.093999788165","247.574456456021",""
"234.422000334598","209.985153303028",""
"239.813000313006","195.908430697446",""
"245.078000170179","245.096345412322",""
"250.406000087969","188.246710026955",""
"255.734000005759","192.382611714398",""
"261.03100029286","240.800596271426",""
"266.406000056304","208.569251643218",""
"271.718999929726","220.765575834885",""
"276.983999786898","236.770110345431",""
"282.359000178985","253.354786641765",""
"287.593999947421","262.022854789206",""
"292.953000124544","267.773453564677",""
"298.297000257298","257.624256071592",""
"303.563000285067","220.51465012017",""
"308.781000296585","259.745582342448",""
"314.077999955043","250.026013825869",""
"319.468999933451","264.656059511384",""
"324.813000066206","259.83683904101",""
"330.124999769032","291.934457334124",""
"335.453000315465","262.039461159351",""
"340.781000233255","261.635951881407",""
"346.094000106677","251.680919469512",""
"351.48399991449","239.632325844696",""
"356.766000157222","362.243546601777",""
"362.094000075012","332.130455955929",""
"367.453000252135","287.845488314237",""
"372.859000274912","269.553699554039",""
"378.218999993987","165.907069311945",""
"383.500000066124","289.904481486698",""
"388.827999983914","313.286209210922",""
"394.250000221655","263.930082814943",""
"399.624999985099","273.856033196756",""
"404.891000012867","289.907428067874",""
"410.233999975026","277.937265459264",""
"415.656000212766","230.134254630334",""
"420.922000240535","312.238736679128",""
"426.266000373289","310.433103948274",""
"431.671999767423","233.393933100013",""
"437.030999944545","287.550554710548",""
"442.453000182286","272.887580383163",""
"447.891000006348","250.552925919055",""
"453.203000337817","266.762110635789",""
"458.563000056893","236.327895955507",""
"463.890999974683","282.922077342113",""
"469.26600036677","272.818207891693",""
"474.546999810264","136.317793386999",""
"479.969000048004","204.31067348094",""
"485.358999855816","214.594449921933",""
"490.766000049189","269.174610112387",""
"496.155999857001","226.760804116273",""
"501.531000249088","282.500383884842",""
"506.875000381842","252.399897768604",""
"512.26600036025","278.432305147423",""
"517.62499990873","233.523597403386",""
"523.077999777161","181.407491392496",""
"528.391000279225","227.605920776612",""
"533.749999827705","224.447743155284",""
"539.125000219792","225.115954885918",""
"544.5160001982","275.927228089178",""
"549.890999961644","174.23117317682",""
"555.296999984421","227.532273302701",""
"560.624999902211","228.577985613482",""
"566.063000354916","236.498265788946",""
"571.6090003727","233.198977393296",""
"576.906000031158","261.476996304165",""
"582.500000065193","242.615544730938",""
"587.952999933623","200.388390973333",""
"593.391000386328","251.372957827463",""
"598.796999780461","256.303919988076",""
