"Vertical Axis: Server Bandwidth [kbit/s]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"5.28100007213652","12.9992369904885",""
"10.3750003036112","32.1963372833778",""
"15.4530003201216","41.8930893712916",""
"20.5780001822859","57.7383287679721",""
"25.688000000082","67.3659479462734",""
"30.8129998622462","86.351353378875",""
"35.9380003530532","96.0693616267099",""
"41.0630002152175","108.587775587233",""
"46.2190003367141","121.069582981014",""
"51.374999829568","146.159414459267",""
"56.5159999066964","150.018298109842",""
"61.6409997688606","163.075346729603",""
"66.7969998903573","178.077690083185",""
"71.969000226818","193.674395267932",""
"77.1090001333505","210.665871597055",""
"82.2339999955148","219.838977912608",""
"87.4060003319755","222.366769230303",""
"92.6090002991259","248.733113583239",""
"97.7500003762543","260.918623888819",""
"102.905999869108","251.786906681379",""
"108.141000266187","281.917779536849",""
"113.374999864027","284.41659271122",""
"118.562999786809","300.734639034976",""
"123.828000272624","320.939355054172",""
"129.031000239775","321.043653607626",""
"134.281000052579","355.43560315825",""
"139.484000019729","380.026555537417",""
"144.671999942511","394.264827939217",""
"149.999999860302","407.194680370344",""
"155.26599988807","408.548237169889",""
"160.546999960206","429.902877506168",""
"165.781000186689","488.528871237994",""
"171.030999999493","513.811746501868",""
"176.328000286594","499.075958997261",""
"181.609000358731","513.844630681378",""
"186.875000386499","510.537063492489",""
"192.172000044957","588.385396183686",""
"197.391000227071","617.275053157209",""
"202.687999885529","650.266917604949",""
"207.89099985268","677.918139398072",""
"213.156000338495","696.5627073661",""
"218.469000211917","674.973319073186",""
"223.797000129707","705.354731158567",""
"229.093999788165","741.327593139493",""
"234.422000334598","751.580461494725",""
"239.813000313006","826.090596634748",""
"245.078000170179","889.609952501474",""
"250.406000087969","864.565763791772",""
"255.734000005759","876.6964137632",""
"261.03100029286","918.782315224442",""
"266.406000056304","1011.69330921904",""
"271.718999929726","1016.80091198988",""
"276.983999786898","1006.43124947858",""
"282.359000178985","1023.95412357393",""
"287.593999947421","1103.20943305364",""
"292.953000124544","1107.43819542532",""
"298.297000257298","1149.29560055193",""
"303.563000285067","1227.06928365025",""
"308.781000296585","1197.74321218563",""
"314.077999955043","1219.08265951769",""
"319.468999933451","1253.45728999276",""
"324.813000066206","1283.04310955562",""
"330.124999769032","1296.09346980117",""
"335.453000315465","1320.20870073911",""
"340.781000233255","1349.85205043833",""
"346.094000106677","1380.15692729342",""
"351.48399991449","1402.84291053048",""
"356.766000157222","1462.8608794639",""
"362.094000075012","1515.65403141262",""
"367.453000252135","1511.90888113102",""
"372.859000274912","1540.71099385325",""
"378.218999993987","1582.7382029484",""
"383.500000066124","1446.82864041644",""
"388.827999983914","1672.92194278406",""
"394.250000221655","1633.70541941987",""
"399.624999985099","1727.25675146862",""
"404.891000012867","1737.36659860247",""
"410.233999975026","1771.22993799101",""
"415.656000212766","1779.96538762116",""
"420.922000240535","1728.20811805932",""
"426.266000373289","1884.28102237565",""
"431.671999767423","1896.66534582543",""
"437.030999944545","1824.13620391236",""
"442.453000182286","1937.85406571742",""
"447.891000006348","1993.91067626065",""
"453.203000337817","1852.32864422172",""
"458.563000056893","1999.95014624389",""
"463.890999974683","2029.76470751167",""
"469.26600036677","1665.16504605389",""
"474.546999810264","2029.07365169882",""
"479.969000048004","2009.95082843807",""
"485.358999855816","2040.0947781229",""
"490.766000049189","2055.44437548968",""
"496.155999857001","2057.64612158554",""
"501.531000249088","2189.22207350438",""
"506.875000381842","2080.00198401839",""
"512.26600036025","2170.75731944544",""
"517.62499990873","1989.02949124335",""
"523.077999777161","2133.72907144785",""
"528.391000279225","1948.20084184723",""
"533.749999827705","2070.53687411158",""
"539.125000219792","2060.64429122117",""
"544.5160001982","2138.17406084955",""
"549.890999961644","1916.00488233034",""
"555.296999984421","2133.96794453525",""
"560.624999902211","2077.06725584739",""
"566.063000354916","2106.82932141622",""
"571.6090003727","2117.87630103373",""
"576.906000031158","2035.47264937865",""
"582.500000065193","2098.50205708991",""
"587.952999933623","1909.30852831471",""
"593.391000386328","2180.99421188425",""
"598.796999780461","2019.25871026686",""
