"Vertical Axis: Request Hierarchy","Horizontal Axis: Time Since Start of Test [ms] (time values are fractions of a day)"
"36292.8193387707","0","CLICK User:8 Request:3"
"36607.1254866191","0","CLICK User:2 Request:26"
"36728.2864162903","0","CLICK User:1 Request:30"
"36746.9069392898","0","CLICK User:7 Request:7"
"36833.5791280735","0","CLICK User:6 Request:11"
"37208.8379947731","0","CLICK User:4 Request:19"
"37209.5000900953","0","CLICK User:5 Request:15"
"37379.4138640526","0","CLICK User:3 Request:23"
"37552.6272193812","0","CLICK User:8 Request:4"
"37862.9510175176","0","CLICK User:2 Request:27"
"37990.1755670064","0","CLICK User:1 Request:31"
"38007.0386040684","0","CLICK User:7 Request:8"
"38093.2853197823","0","CLICK User:6 Request:12"
"38467.6242371586","0","CLICK User:4 Request:20"
"38477.4461558662","0","CLICK User:5 Request:16"
"38633.8023408003","0","CLICK User:3 Request:24"
"38643.0523991178","0","CLICK User:9 Request:1"
"38807.3439501389","0","CLICK User:8 Request:5"
"39128.9077243057","0","CLICK User:2 Request:28"
"39256.7753722889","0","CLICK User:1 Request:32"
"39277.7973178155","0","CLICK User:7 Request:9"
"39352.5068130167","0","CLICK User:6 Request:13"
"39730.4629499001","0","CLICK User:4 Request:21"
"39743.2229515204","0","CLICK User:5 Request:17"
"39895.5420311799","0","CLICK User:3 Request:25"
"39909.401055162","0","CLICK User:9 Request:2"
"40068.1516784955","0","CLICK User:8 Request:6"
"40391.6724052917","0","CLICK User:2 Request:29"
"40521.5268979717","0","CLICK User:1 Request:33"
"40538.3913318592","0","CLICK User:7 Request:10"
"40604.4826926327","0","CLICK User:6 Request:14"
"40990.1509828763","0","CLICK User:4 Request:22"
"41000.9626921857","0","CLICK User:5 Request:18"
"41157.0646548654","0","CLICK User:3 Request:26"
"41170.5526819749","0","CLICK User:9 Request:3"
"41324.3183141992","0","CLICK User:8 Request:7"
"41648.3466474091","0","CLICK User:2 Request:30"
"41787.041369783","0","CLICK User:1 Request:34"
"41799.3278475337","0","CLICK User:7 Request:11"
"41858.4632963128","0","CLICK User:6 Request:15"
"42267.5233863522","0","CLICK User:4 Request:23"
"42276.4387652621","0","CLICK User:5 Request:19"
"42429.4137942113","0","CLICK User:3 Request:27"
"42433.0966645202","0","CLICK User:9 Request:4"
"42583.2417248561","0","CLICK User:8 Request:8"
"42910.1399758908","0","CLICK User:2 Request:31"
"43052.8902416369","0","CLICK User:1 Request:35"
"43062.8009984509","0","CLICK User:7 Request:12"
"43118.002707048","0","CLICK User:6 Request:16"
"43536.2636871446","0","CLICK User:4 Request:24"
"43540.076741597","0","CLICK User:10 Request:1"
"43541.0045131434","0","CLICK User:5 Request:20"
"43697.1925202784","0","CLICK User:3 Request:28"
"43699.9040380831","0","CLICK User:9 Request:5"
"43838.2344683472","0","CLICK User:8 Request:9"
"44171.2566820643","0","CLICK User:2 Request:32"
"44320.3845740171","0","CLICK User:1 Request:36"
"44325.2703905105","0","CLICK User:7 Request:13"
"44381.1984484062","0","CLICK User:6 Request:17"
"44815.6626051635","0","CLICK User:4 Request:25"
"44819.2806627658","0","CLICK User:5 Request:21"
"44820.44645339","0","CLICK User:10 Request:2"
"44966.8010878478","0","CLICK User:3 Request:29"
"44969.8271707717","0","CLICK User:9 Request:6"
"45100.9396445638","0","CLICK User:8 Request:10"
"45524.4269872288","0","CLICK User:2 Request:33"
"45671.079424899","0","CLICK User:1 Request:37"
"45676.0423461641","0","CLICK User:7 Request:14"
"45678.8454957264","0","CLICK User:6 Request:18"
"46084.1411408433","0","CLICK User:5 Request:22"
"46086.0050648895","0","CLICK User:4 Request:26"
"46093.8842785885","0","CLICK User:10 Request:3"
"46324.3596602362","0","CLICK User:3 Request:30"
"46324.4574380263","0","CLICK User:9 Request:7"
"46357.0291754958","0","CLICK User:8 Request:11"
"46786.3787157306","0","CLICK User:2 Request:34"
"46938.86764938","0","CLICK User:1 Request:38"
"46948.4392569447","0","CLICK User:6 Request:19"
"46951.741073237","0","CLICK User:7 Request:15"
"47358.2304454896","0","CLICK User:10 Request:4"
"47361.4437030405","0","CLICK User:5 Request:23"
"47365.1559066865","0","CLICK User:4 Request:27"
"47584.0407090845","0","CLICK User:3 Request:31"
"47584.9455726915","0","CLICK User:9 Request:8"
"47615.0753796921","0","CLICK User:8 Request:12"
"48051.927270086","0","CLICK User:2 Request:35"
"48199.5979935997","0","CLICK User:11 Request:1"
"48208.8726360473","0","CLICK User:1 Request:39"
"48216.5792021053","0","CLICK User:6 Request:20"
"48218.5777801369","0","CLICK User:7 Request:16"
"48623.3823013819","0","CLICK User:10 Request:5"
"48628.3161686751","0","CLICK User:5 Request:24"
"48634.2213884726","0","CLICK User:4 Request:28"
"48850.7785207338","0","CLICK User:3 Request:32"
"48852.9218098948","0","CLICK User:9 Request:9"
"48872.1457615423","0","CLICK User:8 Request:13"
"49323.7076220581","0","CLICK User:2 Request:36"
"49474.9106380839","0","CLICK User:11 Request:2"
"49484.8876044302","0","CLICK User:1 Request:40"
"49503.2349083473","0","CLICK User:6 Request:21"
"49503.6265782383","0","CLICK User:7 Request:17"
"49890.9082020201","0","CLICK User:10 Request:6"
"49894.6648247193","0","CLICK User:5 Request:25"
"49896.6955297391","0","CLICK User:4 Request:29"
"50110.4196203707","0","CLICK User:3 Request:33"
"50121.4587328836","0","CLICK User:9 Request:10"
"50124.4644221542","0","CLICK User:8 Request:14"
"50591.111160776","0","CLICK User:2 Request:37"
"50740.6089321408","0","CLICK User:11 Request:3"
"50755.1185974754","0","CLICK User:1 Request:41"
"50770.0059644452","0","CLICK User:7 Request:18"
"50774.7143840907","0","CLICK User:6 Request:22"
"51149.8542412513","0","CLICK User:10 Request:7"
"51160.6134299192","0","CLICK User:5 Request:26"
"51162.7405159036","0","CLICK User:4 Request:30"
"51378.5475528314","0","CLICK User:3 Request:34"
"51447.5116250808","0","CLICK User:9 Request:11"
"51448.9048189086","0","CLICK User:8 Request:15"
"51860.6018362669","0","CLICK User:2 Request:38"
"52012.1110364585","0","CLICK User:11 Request:4"
"52023.2764220034","0","CLICK User:1 Request:42"
"52028.5254131461","0","CLICK User:7 Request:19"
"52034.8745441111","0","CLICK User:6 Request:23"
"52415.5776781686","0","CLICK User:10 Request:8"
"52428.5147972717","0","CLICK User:4 Request:31"
"52432.0747469301","0","CLICK User:5 Request:27"
"52640.9401194845","0","CLICK User:3 Request:35"
"52705.6642673859","0","CLICK User:9 Request:12"
"52708.3992518602","0","CLICK User:8 Request:16"
"53123.5226823521","0","CLICK User:2 Request:39"
"53174.3799840483","0","CLICK User:12 Request:1"
"53289.07137639","0","CLICK User:11 Request:5"
"53299.3226792791","0","CLICK User:1 Request:43"
"53313.7977033394","0","CLICK User:7 Request:20"
"53315.4685860913","0","CLICK User:6 Request:24"
"53677.3137368017","0","CLICK User:10 Request:9"
"53690.0742971523","0","CLICK User:4 Request:32"
"53693.0531673718","0","CLICK User:5 Request:28"
"53910.5470108631","0","CLICK User:3 Request:36"
"53971.3145106431","0","CLICK User:9 Request:13"
"53982.9682264087","0","CLICK User:8 Request:17"
"54397.9776759337","0","CLICK User:2 Request:40"
"54449.9074603057","0","CLICK User:12 Request:2"
"54554.3358164236","0","CLICK User:11 Request:6"
