"Vertical Axis: Sent/Received Requests/s","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"10.4079233533871","1.96527327002263",""
"15.5259383525001","2.73544238440809",""
"20.633733616982","3.32824998761182",""
"25.7591562614802","4.29233503327991",""
"30.8806655594496","5.07663374871963",""
"36.0139559636769","5.84421266952344",""
"41.1565288325751","6.61148410613835",""
"46.3243627332524","7.93369881206977",""
"51.4474549139625","8.39337846542842",""
"56.5899830844423","9.13948642117223",""
"61.743728043648","9.89572848931377",""
"66.8948989326856","11.065456159637",""
"72.0401777320861","12.0498998546455",""
"77.1731446315104","12.4684381116602",""
"82.3400867987412","13.5476808136995",""
"87.5541545084641","13.425234655353",""
"92.6764393239923","15.0323714832291",""
"97.825000384127","15.7325715937106",""
"103.058533696322","16.4325115125741",""
"108.316525424321","16.1658877132934",""
"113.493588151567","17.7707155710542",""
"118.745054189848","17.8997834750996",""
"123.960813734707","19.9395930074862",""
"129.196268520161","19.8645822283304",""
"134.381758296096","21.0202436205833",""
"139.587701230184","22.4743412690768",""
"144.918503049969","22.69829891524",""
"150.174960504757","22.4486063582105",""
"155.420567977215","23.6388545159163",""
"160.666228529045","24.2105147254972",""
"165.957751893048","26.4574415284589",""
"171.239708678058","25.937387409306",""
"176.525857895347","26.8626857211137",""
"181.792351541886","27.9123404713545",""
"187.062077163438","27.705459593861",""
"192.302841562266","29.1942689675859",""
"197.619106338934","30.4725597019325",""
"202.828364219475","31.0985179723008",""
"208.074544949149","32.213947192594",""
"213.374571069787","32.6413864153163",""
"218.701349193822","32.6651864803943",""
"224.010624534682","33.7146212466261",""
"229.298821777628","35.3618083335068",""
"234.685916226783","34.71262763488",""
"239.983909686846","36.6176792243819",""
"245.332781400988","38.138928227371",""
"250.644380780239","37.0886814914021",""
"255.948104298172","39.9720587731797",""
"261.334455356756","39.7300959137092",""
"266.549539396767","41.4183561795002",""
"271.922257717112","41.506077653384",""
"277.274974612695","42.0347786888993",""
"282.475072390485","42.499253382985",""
"287.865394624177","45.0808465852959",""
"293.189763782827","44.7001828079705",""
"298.468985303998","46.0295674134391",""
"303.699091644329","48.5650377872825",""
"309.009011759875","46.7050881471721",""
"314.382183769166","48.7608274692557",""
"319.708893728113","48.9984067383655",""
"325.048976895108","50.1865420569744",""
"330.374034409401","50.3282401322727",""
"335.708210680408","50.8045288490535",""
"340.998638095065","52.1697640196736",""
"346.402521549527","52.739909463796",""
"351.678827895724","53.6360715364891",""
"356.993122030873","56.2634197338216",""
"362.390892697256","56.690138053178",""
"367.735453807677","56.1318982927984",""
"373.103444152818","56.8183520219163",""
"378.405638426113","59.4094379596426",""
"383.759012388446","56.2268013697208",""
"389.101571847819","59.7092809320521",""
"394.548464399805","59.667118505292",""
"399.793004697524","64.8293995550855",""
"405.102090349472","62.157671023203",""
"410.493770297622","63.6166082349611",""
"415.814469716123","65.4050174898123",""
"421.181123019825","64.8445005254996",""
"426.588194588977","64.9155506967846",""
"431.795949764565","68.9357336466436",""
"437.363731144601","66.6334436355061",""
"442.743582215058","68.4034551292963",""
"448.123209234693","70.0792951795782",""
"453.431702353232","65.7437800653069",""
"458.799513066605","71.1498528649474",""
"464.188175592149","72.018560317896",""
"469.442890367351","57.8528654902486",""
"474.828201349613","72.0492371367796",""
"480.239619560587","70.40676175233",""
"485.633218188345","75.088924014376",""
"491.026289095402","68.7926914494047",""
"496.43297542006","75.4621918212239",""
"501.794982323172","73.4801645495511",""
"507.174512682478","73.9842418938518",""
"512.525524054035","74.1916712831566",""
"517.979041470354","72.7971394319825",""
"523.304425841832","72.4831145618311",""
"528.618308472166","69.0644581378941",""
"534.025562746103","74.1597263432187",""
"539.35429027991","72.6253057960364",""
"544.783644569352","73.4894851943411",""
"550.186184836341","71.0777556240587",""
"555.543149478495","72.0558130662116",""
"560.918635189668","73.1097599129394",""
"566.377435679674","72.5434912998977",""
"571.817615926046","74.0785077595025",""
"577.284569128199","72.623273677404",""
"582.867502433969","70.7514191863648",""
"588.299302564991","70.3266803470945",""
"593.65923434403","75.3741801028297",""
"599.120397424812","72.8783342275216",""
