"Vertical Axis: Hits/s - Clicks/s","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"5.28100007213652","0.792636401859057",""
"10.3750003036112","1.96319129776694",""
"15.4530003201216","2.55445666898119",""
"20.5780001822859","3.52062980292513",""
"25.688000000082","4.10767975282155",""
"30.8129998622462","5.26532642554116",""
"35.9380003530532","5.85788790406767",""
"41.0630002152175","6.62120582848984",""
"46.2190003367141","7.3822916451838",""
"51.374999829568","8.91215941824801",""
"56.5159999066964","9.14745720181961",""
"61.6409997688606","9.94361870302455",""
"66.7969998903573","10.8583957367796",""
"71.969000226818","11.8094143456056",""
"77.1090001333505","12.8454799754302",""
"82.2339999955148","13.2431242098423",""
"87.4060003319755","13.5589493433112",""
"92.6090002991259","15.1666532672706",""
"97.7500003762543","15.7411222613288",""
"102.905999869108","15.3528601634987",""
"108.141000266187","17.1901085083444",""
"113.374999864027","17.3424751653183",""
"118.562999786809","18.3374779899375",""
"123.828000272624","19.5694728691568",""
"129.031000239775","19.5758325370503",""
"134.281000052579","21.3562790519283",""
"139.484000019729","21.7351037258512",""
"144.671999942511","22.1238568380329",""
"149.999999860302","23.2708411833211",""
"155.26599988807","23.9640490385002",""
"160.546999960206","24.7990601940462",""
"165.781000186689","25.9816761282595",""
"171.030999999493","25.3230414660997",""
"176.328000286594","26.9847086368054",""
"181.609000358731","27.2474557588843",""
"186.875000386499","28.2926179833364",""
"192.172000044957","29.9056338390117",""
"197.391000227071","29.8534802666818",""
"202.687999885529","31.668696503504",""
"207.89099985268","31.9179189243689",""
"213.156000338495","32.8551548334291",""
"218.469000211917","32.3990568684775",""
"223.797000129707","33.6459635228707",""
"229.093999788165","34.7095979557774",""
"234.422000334598","35.4070885667596",""
"239.813000313006","36.3568781055456",""
"245.078000170179","38.7781348740634",""
"250.406000087969","37.5836717037463",""
"255.734000005759","38.8208874078407",""
"261.03100029286","39.4230350805906",""
"266.406000056304","41.899017711205",""
"271.718999929726","41.7177617063681",""
"276.983999786898","41.9728731255105",""
"282.359000178985","42.8103102036062",""
"287.593999947421","44.5622336994091",""
"292.953000124544","44.7634255501385",""
"298.297000257298","46.3422028666659",""
"303.563000285067","47.5403052252427",""
"308.781000296585","47.5587144914368",""
"314.077999955043","48.2395455152756",""
"319.468999933451","49.3514002210283",""
"324.813000066206","49.8135062466276",""
"330.124999769032","50.6043131231778",""
"335.453000315465","51.2376312300797",""
"340.781000233255","52.2129226777042",""
"346.094000106677","52.8195693973672",""
"351.48399991449","53.3086487575907",""
"356.766000157222","55.0910507788713",""
"362.094000075012","57.2374632239645",""
"367.453000252135","57.2379759892458",""
"372.859000274912","57.3745223912654",""
"378.218999993987","57.3019809672713",""
"383.500000066124","54.9002623351824",""
"388.827999983914","61.8564363901579",""
"394.250000221655","60.374290969934",""
"399.624999985099","62.8782284965467",""
"404.891000012867","63.485901993328",""
"410.233999975026","63.8510882842334",""
"415.656000212766","64.6477068186381",""
"420.922000240535","62.6579530947675",""
"426.266000373289","68.0512586502681",""
"431.671999767423","67.7209195890451",""
"437.030999944545","65.2731525896833",""
"442.453000182286","69.1621752339396",""
"447.891000006348","70.4324245388385",""
"453.203000337817","66.4966850314394",""
"458.563000056893","70.4437285518676",""
"463.890999974683","71.7102393543517",""
"469.26600036677","59.4358984390749",""
"474.546999810264","71.4695382784745",""
"479.969000048004","71.3272949603512",""
"485.358999855816","71.2494629252972",""
"490.766000049189","72.5835286980375",""
"496.155999857001","72.0211633396256",""
"501.531000249088","76.480485374753",""
"506.875000381842","72.6070544400468",""
"512.26600036025","75.6859906994273",""
"517.62499990873","69.9909297431687",""
"523.077999777161","74.9081209727904",""
"528.391000279225","69.1809122334063",""
"533.749999827705","72.6591463502769",""
"539.125000219792","72.1966522411649",""
"544.5160001982","74.8482901778168",""
"549.890999961644","67.7329150345824",""
"555.296999984421","75.0527545168395",""
"560.624999902211","72.7720465830899",""
"566.063000354916","74.0510871093942",""
"571.6090003727","73.8254709625494",""
"576.906000031158","71.4122974661942",""
"582.500000065193","73.3961268491864",""
"587.952999933623","67.959315796787",""
"593.391000386328","75.825864494932",""
"598.796999780461","70.8827425368456",""
