"Vertical Axis: Request Hierarchy","Horizontal Axis: Time Since Start of Test [ms] (time values are fractions of a day)"
"170659.068959882","0","CLICK User:1 Request:131 Result=500"
"170704.30068626","0","CLICK User:23 Request:49 Result=500"
"170717.205119645","0","CLICK User:31 Request:20 Result=500"
"170899.436101516","0","CLICK User:14 Request:83 Result=500"
"170990.977344886","0","CLICK User:17 Request:71 Result=500"
"171001.092596964","0","CLICK User:6 Request:113 Result=500"
"171029.82501966","0","CLICK User:12 Request:90 Result=500"
"172176.809343087","0","CLICK User:2 Request:130 Result=500"
"172198.864660173","0","CLICK User:22 Request:54 Result=500"
"172214.877868556","0","CLICK User:16 Request:76 Result=500"
"172341.78757356","0","CLICK User:32 Request:18 Result=500"
"172810.134807636","0","CLICK User:21 Request:58 Result=500"
"172871.722523393","0","CLICK User:25 Request:44 Result=500"
"173529.668994244","0","CLICK User:13 Request:89 Result=500"
"173589.26036689","0","CLICK User:12 Request:92 Result=500"
"173773.935514151","0","CLICK User:27 Request:37 Result=500"
"173782.386029509","0","CLICK User:10 Request:100 Result=500"
"173791.314259215","0","CLICK User:24 Request:47 Result=500"
"174156.512350033","0","CLICK User:20 Request:63 Result=500"
"174163.592579504","0","CLICK User:33 Request:16 Result=500"
"174999.204926883","0","CLICK User:14 Request:86 Result=500"
"175034.864207602","0","CLICK User:17 Request:74 Result=500"
"175060.603233092","0","CLICK User:28 Request:34 Result=500"
"175075.517977844","0","CLICK User:19 Request:67 Result=500"
"175541.729465616","0","CLICK User:29 Request:31 Result=500"
"175669.726459648","0","CLICK User:1 Request:135 Result=500"
"176692.130145032","0","CLICK User:33 Request:18 Result=500"
"176765.829455978","0","CLICK User:1 Request:136 Result=500"
"176784.887464748","0","CLICK User:4 Request:125 Result=500"
"176795.432380372","0","CLICK User:21 Request:61 Result=500"
"176805.029968893","0","CLICK User:25 Request:47 Result=500"
"177181.90216913","0","CLICK User:13 Request:92 Result=500"
"178085.349394965","0","CLICK User:15 Request:84 Result=500"
"178088.795922387","0","CLICK User:18 Request:72 Result=500"
"178120.780434385","0","CLICK User:20 Request:66 Result=500"
"178139.15986529","0","CLICK User:29 Request:33 Result=500"
"178448.286304544","0","CLICK User:31 Request:26 Result=500"
"178451.259866827","0","CLICK User:5 Request:122 Result=500"
"179441.586290995","0","CLICK User:7 Request:115 Result=500"
"179456.4613659","0","CLICK User:6 Request:119 Result=500"
"179490.051668578","0","CLICK User:10 Request:104 Result=500"
"179581.88792151","0","CLICK User:37 Request:5 Result=500"
"179587.348950774","0","CLICK User:31 Request:27 Result=500"
"179614.140624018","0","CLICK User:32 Request:23 Result=500"
"180084.089737662","0","CLICK User:22 Request:60 Result=500"
"180155.865899158","0","CLICK User:35 Request:13 Result=500"
"180795.712304217","0","CLICK User:29 Request:35 Result=500"
"180838.4590779","0","CLICK User:1 Request:139 Result=500"
"180880.294003847","0","CLICK User:4 Request:128 Result=500"
"180906.173829355","0","CLICK User:21 Request:64 Result=500"
"181449.2844761","0","CLICK User:2 Request:137 Result=500"
"181452.185962182","0","CLICK User:12 Request:98 Result=500"
