"Vertical Axis: Time [ms]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"5.28100007213652","196.5",""
"10.3750003036112","197.6",""
"15.4530003201216","196.230769230769",""
"20.5780001822859","200.833333333333",""
"25.688000000082","195.857142857143",""
"30.8129998622462","197.62962962963",""
"35.9380003530532","199.733333333333",""
"41.0630002152175","200",""
"46.2190003367141","211.868421052632",""
"51.374999829568","204.326086956522",""
"56.5159999066964","206.31914893617",""
"61.6409997688606","211.960784313725",""
"66.7969998903573","204.732142857143",""
"71.969000226818","213.16393442623",""
"77.1090001333505","208.727272727273",""
"82.2339999955148","225.940298507463",""
"87.4060003319755","226.628571428571",""
"92.6090002991259","227.949367088608",""
"97.7500003762543","265.75",""
"102.905999869108","241.620253164557",""
"108.141000266187","262.233333333333",""
"113.374999864027","263.087912087912",""
"118.562999786809","280.147368421053",""
"123.828000272624","253.04854368932",""
"129.031000239775","251.656862745098",""
"134.281000052579","278.518181818182",""
"139.484000019729","286.096153846154",""
"144.671999942511","279.116504854369",""
"149.999999860302","279.035087719298",""
"155.26599988807","302.375",""
"160.546999960206","299.295081967213",""
"165.781000186689","328.446428571429",""
"171.030999999493","332.652631578947",""
"176.328000286594","327",""
"181.609000358731","343.601694915254",""
"186.875000386499","349.832061068702",""
"192.172000044957","351.233333333333",""
"197.391000227071","360.906542056075",""
"202.687999885529","370.076923076923",""
"207.89099985268","363.710280373832",""
"213.156000338495","392.017857142857",""
"218.469000211917","397.068965517241",""
"223.797000129707","425.924369747899",""
"229.093999788165","415.623931623932",""
"234.422000334598","416.66393442623",""
"239.813000313006","433.314285714286",""
"245.078000170179","407.547169811321",""
"250.406000087969","451.485436893204",""
"255.734000005759","449.41592920354",""
"261.03100029286","455.407766990291",""
"266.406000056304","470.876288659794",""
"271.718999929726","511.5",""
"276.983999786898","506.642857142857",""
"282.359000178985","517.009708737864",""
"287.593999947421","542.344444444444",""
"292.953000124544","516.763440860215",""
"298.297000257298","499.052631578947",""
"303.563000285067","546.28",""
"308.781000296585","575.125",""
"314.077999955043","583.770114942529",""
"319.468999933451","603.829545454545",""
"324.813000066206","627.876543209877",""
"330.124999769032","637.344827586207",""
"335.453000315465","660.963855421687",""
"340.781000233255","651.847058823529",""
"346.094000106677","714.179487179487",""
"351.48399991449","730.358974358974",""
"356.766000157222","704.581081081081",""
"362.094000075012","654.974025974026",""
"367.453000252135","676.632911392405",""
"372.859000274912","696.625",""
"378.218999993987","707.407407407407",""
"383.500000066124","692.371794871795",""
"388.827999983914","763.763888888889",""
"394.250000221655","748.169014084507",""
"399.624999985099","734.901639344262",""
"404.891000012867","829.061538461538",""
"410.233999975026","945.701754385965",""
"415.656000212766","774.40625",""
"420.922000240535","842.627118644068",""
"426.266000373289","926.433333333333",""
"431.671999767423","935.037037037037",""
"437.030999944545","942.392156862745",""
"442.453000182286","999.945454545455",""
"447.891000006348","1025.5",""
"453.203000337817","1044.71428571429",""
"458.563000056893","1013.2",""
"463.890999974683","1181.39583333333",""
"469.26600036677","1082.21276595745",""
"474.546999810264","1129.26666666667",""
"479.969000048004","1111.36",""
"485.358999855816","1182.87179487179",""
"490.766000049189","1248.77551020408",""
"496.155999857001","1270.10256410256",""
"501.531000249088","1386.42857142857",""
"506.875000381842","1232.46153846154",""
"512.26600036025","1438.625",""
"517.62499990873","1213.36363636364",""
"523.077999777161","1085.58695652174",""
"528.391000279225","1212.36",""
"533.749999827705","1175.07692307692",""
"539.125000219792","1220.2619047619",""
"544.5160001982","1350.11627906977",""
"549.890999961644","1200.81818181818",""
"555.296999984421","1258.93333333333",""
"560.624999902211","1208.38095238095",""
"566.063000354916","1258.54545454545",""
"571.6090003727","1386.4",""
"576.906000031158","1309.28571428571",""
"582.500000065193","1273.72093023256",""
"587.952999933623","1079.48",""
"593.391000386328","1319.18421052632",""
"598.796999780461","1347.16279069767",""
