"Vertical Axis: Errors [%]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"5.28100007213652","0",""
"10.3750003036112","0",""
"15.4530003201216","0",""
"20.5780001822859","0",""
"25.688000000082","0",""
"30.8129998622462","0",""
"35.9380003530532","0",""
"41.0630002152175","0",""
"46.2190003367141","0",""
"51.374999829568","0",""
"56.5159999066964","0",""
"61.6409997688606","0",""
"66.7969998903573","0",""
"71.969000226818","0",""
"77.1090001333505","0",""
"82.2339999955148","1.47058823529412",""
"87.4060003319755","0",""
"92.6090002991259","0",""
"97.7500003762543","1.23456790123457",""
"102.905999869108","0",""
"108.141000266187","0",""
"113.374999864027","0",""
"118.562999786809","0",""
"123.828000272624","0",""
"129.031000239775","0",""
"134.281000052579","1.78571428571429",""
"139.484000019729","7.9646017699115",""
"144.671999942511","10.4347826086957",""
"149.999999860302","8.06451612903226",""
"155.26599988807","4.76190476190476",""
"160.546999960206","6.87022900763359",""
"165.781000186689","17.6470588235294",""
"171.030999999493","28.5714285714286",""
"176.328000286594","15.3846153846154",""
"181.609000358731","18.0555555555556",""
"186.875000386499","12.0805369127517",""
"192.172000044957","24.0506329113924",""
"197.391000227071","31.4102564102564",""
"202.687999885529","30.3571428571429",""
"207.89099985268","35.5421686746988",""
"213.156000338495","35.2601156069364",""
"218.469000211917","32.5581395348837",""
"223.797000129707","33.5195530726257",""
"229.093999788165","36.4130434782609",""
"234.422000334598","35.4497354497354",""
"239.813000313006","46.4285714285714",""
"245.078000170179","48.0392156862745",""
"250.406000087969","48.5",""
"255.734000005759","45.4106280193237",""
"261.03100029286","50.7177033492823",""
"266.406000056304","56.8888888888889",""
"271.718999929726","58.5585585585586",""
"276.983999786898","55.6561085972851",""
"282.359000178985","55.2173913043478",""
"287.593999947421","61.3733905579399",""
"292.953000124544","61.25",""
"298.297000257298","61.6935483870968",""
"303.563000285067","70",""
"308.781000296585","64.5161290322581",""
"314.077999955043","66.015625",""
"319.468999933451","66.9172932330827",""
"324.813000066206","69.5488721804511",""
"330.124999769032","67.6579925650558",""
"335.453000315465","69.5970695970696",""
"340.781000233255","69.4244604316547",""
"346.094000106677","72.2419928825623",""
"351.48399991449","72.8222996515679",""
"356.766000157222","74.5704467353952",""
"362.094000075012","74.7540983606557",""
"367.453000252135","74.2671009771987",""
"372.859000274912","76.7741935483871",""
"378.218999993987","82.4104234527687",""
"383.500000066124","73.1034482758621",""
"388.827999983914","78.1818181818182",""
"394.250000221655","78.2874617737003",""
"399.624999985099","81.9526627218935",""
"404.891000012867","80.5389221556886",""
"410.233999975026","83.2844574780059",""
"415.656000212766","81.7663817663818",""
"420.922000240535","82.1212121212121",""
"426.266000373289","83.5164835164835",""
"431.671999767423","85.2459016393443",""
"437.030999944545","85.4285714285714",""
"442.453000182286","85.3333333333333",""
"447.891000006348","87.467362924282",""
"453.203000337817","84.1359773371105",""
"458.563000056893","88.0636604774536",""
"463.890999974683","87.434554973822",""
"469.26600036677","85.3125",""
"474.546999810264","88.0636604774536",""
"479.969000048004","87.0801033591731",""
"485.358999855816","89.84375",""
"490.766000049189","87.5318066157761",""
"496.155999857001","89.9484536082474",""
"501.531000249088","89.7810218978102",""
"506.875000381842","89.9484536082474",""
"512.26600036025","90.1960784313726",""
"517.62499990873","88.2666666666667",""
"523.077999777161","88.7530562347188",""
"528.391000279225","86.3760217983651",""
"533.749999827705","89.974293059126",""
"539.125000219792","89.1752577319588",""
"544.5160001982","89.3564356435644",""
"549.890999961644","87.9120879120879",""
"555.296999984421","88.9162561576355",""
"560.624999902211","89.1752577319588",""
"566.063000354916","89.0547263681592",""
"571.6090003727","90.2439024390244",""
"576.906000031158","88.8888888888889",""
"582.500000065193","89.5377128953771",""
"587.952999933623","86.4864864864865",""
"593.391000386328","90.7990314769976",""
"598.796999780461","88.7728459530026",""
