"Vertical Axis: Click Time [ms]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"5.28100007213652","198.25",""
"10.3750003036112","198.8",""
"15.4530003201216","197.538461538462",""
"20.5780001822859","202.444444444444",""
"25.688000000082","197.095238095238",""
"30.8129998622462","199.185185185185",""
"35.9380003530532","202",""
"41.0630002152175","201.441176470588",""
"46.2190003367141","214.842105263158",""
"51.374999829568","206.5",""
"56.5159999066964","208.148936170213",""
"61.6409997688606","214.235294117647",""
"66.7969998903573","206.642857142857",""
"71.969000226818","215.180327868852",""
"77.1090001333505","213.212121212121",""
"82.2339999955148","230.582089552239",""
"87.4060003319755","230.5",""
"92.6090002991259","231.708860759494",""
"97.7500003762543","271.35",""
"102.905999869108","247.291139240506",""
"108.141000266187","267.044444444444",""
"113.374999864027","268.142857142857",""
"118.562999786809","286.242105263158",""
"123.828000272624","258.650485436893",""
"129.031000239775","256.539215686275",""
"134.281000052579","284.6",""
"139.484000019729","292.25",""
"144.671999942511","284.660194174757",""
"149.999999860302","284.280701754386",""
"155.26599988807","311.325",""
"160.546999960206","306.532786885246",""
"165.781000186689","338.071428571429",""
"171.030999999493","340.136842105263",""
"176.328000286594","334.512396694215",""
"181.609000358731","353.466101694915",""
"186.875000386499","360.152671755725",""
"192.172000044957","361.508333333333",""
"197.391000227071","372.775700934579",""
"202.687999885529","379.059829059829",""
"207.89099985268","372.635514018692",""
"213.156000338495","403.544642857143",""
"218.469000211917","407.931034482759",""
"223.797000129707","439.36974789916",""
"229.093999788165","427.401709401709",""
"234.422000334598","432.155737704918",""
"239.813000313006","445.104761904762",""
"245.078000170179","418.877358490566",""
"250.406000087969","461.184466019417",""
"255.734000005759","466.159292035398",""
"261.03100029286","466.31067961165",""
"266.406000056304","481.701030927835",""
"271.718999929726","526.54347826087",""
"276.983999786898","518.540816326531",""
"282.359000178985","529.281553398058",""
"287.593999947421","555.777777777778",""
"292.953000124544","531.258064516129",""
"298.297000257298","514.631578947368",""
"303.563000285067","556.44",""
"308.781000296585","589.954545454545",""
"314.077999955043","598.287356321839",""
"319.468999933451","616.738636363636",""
"324.813000066206","643.740740740741",""
"330.124999769032","651.827586206897",""
"335.453000315465","677.89156626506",""
"340.781000233255","668.8",""
"346.094000106677","732.384615384615",""
"351.48399991449","751.012820512821",""
"356.766000157222","721.324324324324",""
"362.094000075012","672.623376623377",""
"367.453000252135","692.582278481013",""
"372.859000274912","718",""
"378.218999993987","724.888888888889",""
"383.500000066124","709.871794871795",""
"388.827999983914","788.111111111111",""
"394.250000221655","768.69014084507",""
"399.624999985099","757.672131147541",""
"404.891000012867","852.261538461538",""
"410.233999975026","961.333333333333",""
"415.656000212766","804.328125",""
"420.922000240535","871.457627118644",""
"426.266000373289","954.683333333333",""
"431.671999767423","953.240740740741",""
"437.030999944545","964.039215686274",""
"442.453000182286","1027.8",""
"447.891000006348","1049.29166666667",""
"453.203000337817","1075.51785714286",""
"458.563000056893","1031.42222222222",""
"463.890999974683","1210.5",""
"469.26600036677","1229.12765957447",""
"474.546999810264","1147.48888888889",""
"479.969000048004","1143.3",""
"485.358999855816","1203.76923076923",""
"490.766000049189","1280.14285714286",""
"496.155999857001","1307.48717948718",""
"501.531000249088","1420.59523809524",""
"506.875000381842","1249.89743589744",""
"512.26600036025","1489.9",""
"517.62499990873","1269",""
"523.077999777161","1115.23913043478",""
"528.391000279225","1237.02",""
"533.749999827705","1199.66666666667",""
"539.125000219792","1256.95238095238",""
"544.5160001982","1390.25581395349",""
"549.890999961644","1218.04545454545",""
"555.296999984421","1284.44444444444",""
"560.624999902211","1232.88095238095",""
"566.063000354916","1295.15909090909",""
"571.6090003727","1439.5",""
"576.906000031158","1338.2619047619",""
"582.500000065193","1313.72093023256",""
"587.952999933623","1115.38",""
"593.391000386328","1352.26315789474",""
"598.796999780461","1382.16279069767",""
