"Vertical Axis: Average Request Time [ms]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"5.28100007213652","198.320526770861",""
"10.3750003036112","198.813871595412",""
"15.4530003201216","197.444346439819",""
"20.5780001822859","202.29453433017",""
"25.688000000082","196.986501809321",""
"30.8129998622462","199.046692412749",""
"35.9380003530532","201.986705014185",""
"41.0630002152175","201.371904562632",""
"46.2190003367141","214.765482910905",""
"51.374999829568","206.494880603905",""
"56.5159999066964","208.186723363123",""
"61.6409997688606","214.2333403695",""
"66.7969998903573","206.670899713312",""
"71.969000226818","215.206479786823",""
"77.1090001333505","213.191299029583",""
"82.2339999955148","230.591297322183",""
"87.4060003319755","230.448351077342",""
"92.6090002991259","231.675191163094",""
"97.7500003762543","271.338452233454",""
"102.905999869108","247.32453886058",""
"108.141000266187","267.018666711365",""
"113.374999864027","268.191443510094",""
"118.562999786809","286.240713774928",""
"123.828000272624","258.613882246546",""
"129.031000239775","256.531100362493",""
"134.281000052579","284.584615185348",""
"139.484000019729","292.231715741268",""
"144.671999942511","284.645991577793",""
"149.999999860302","284.313658604018",""
"155.26599988807","311.334755301768",""
"160.546999960206","306.534201194039",""
"165.781000186689","338.04666016012",""
"171.030999999493","340.130273834421",""
"176.328000286594","334.494892691992",""
"181.609000358731","353.502723608632",""
"186.875000386499","360.142140970431",""
"192.172000044957","361.541224745976",""
"197.391000227071","372.743377046185",""
"202.687999885529","379.043220564978",""
"207.89099985268","372.611179907309",""
"213.156000338495","403.545717003538",""
"218.469000211917","407.949685957486",""
"223.797000129707","439.382661316833",""
"229.093999788165","427.400674867322",""
"234.422000334598","432.163479702258",""
"239.813000313006","445.103524397122",""
"245.078000170179","418.902784550698",""
"250.406000087969","461.198804257638",""
"255.734000005759","466.177877430089",""
"261.03100029286","466.303624015131",""
"266.406000056304","481.721095895201",""
"271.718999929726","526.506830143034",""
"276.983999786898","518.587674793122",""
"282.359000178985","529.233021927571",""
"287.593999947421","555.772581897047",""
"292.953000124544","531.212753852584",""
"298.297000257298","514.62600914215",""
"303.563000285067","556.489337797588",""
"308.781000296585","589.981452696057",""
"314.077999955043","598.302706005963",""
"319.468999933451","616.808389435986",""
"324.813000066206","643.737257523367",""
"330.124999769032","651.774100936832",""
"335.453000315465","677.852490742791",""
"340.781000233255","668.802957457705",""
"346.094000106677","732.353033982152",""
"351.48399991449","751.019161545779",""
"356.766000157222","721.320518880684",""
"362.094000075012","672.641028725391",""
"367.453000252135","692.545274520517",""
"372.859000274912","718.014661546835",""
"378.218999993987","724.894370239379",""
"383.500000066124","709.837194248761",""
"388.827999983914","788.150398848022",""
"394.250000221655","768.70887615172",""
"399.624999985099","757.638818872689",""
"404.891000012867","852.25123906487",""
"410.233999975026","961.287302686441",""
"415.656000212766","804.321848167854",""
"420.922000240535","871.448073210517",""
"426.266000373289","954.686005251133",""
"431.671999767423","953.318554918758",""
"437.030999944545","964.071323666698",""
"442.453000182286","1027.79240479904",""
"447.891000006348","1049.2573136623",""
"453.203000337817","1075.50473793257",""
"458.563000056893","1031.439253375",""
"463.890999974683","1210.4755690551",""
"469.26600036677","1229.13189103465",""
"474.546999810264","1147.48326952169",""
"479.969000048004","1143.28788156037",""
"485.358999855816","1203.83684346646",""
"490.766000049189","1280.12143032316",""
"496.155999857001","1307.48420217138",""
"501.531000249088","1420.60397540549",""
"506.875000381842","1249.90637866129",""
"512.26600036025","1489.86902665004",""
"517.62499990873","1269.04373575159",""
"523.077999777161","1115.28181229251",""
"528.391000279225","1237.03277371845",""
"533.749999827705","1199.62090870237",""
"539.125000219792","1256.90409309137",""
"544.5160001982","1390.23903486239",""
"549.890999961644","1218.10816737881",""
"555.296999984421","1284.3531851736",""
"560.624999902211","1232.87227446904",""
"566.063000354916","1295.18448192819",""
"571.6090003727","1439.51352755727",""
"576.906000031158","1338.2761004009",""
"582.500000065193","1313.74778144306",""
"587.952999933623","1115.38168677863",""
"593.391000386328","1352.21612626303",""
"598.796999780461","1382.13567938526",""
