"Vertical Axis: Click Time [ms]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"5.4850002983585","468.5",""
"10.5780003592372","193.5",""
"15.6719999620691","192.923076923077",""
"20.7810002379119","190.176470588235",""
"25.9220003150404","190.782608695652",""
"31.0470001772046","194.296296296296",""
"36.1720000393689","190.7",""
"41.3130001164973","192.970588235294",""
"46.4530000230297","194.525",""
"51.5940001001582","196.232558139535",""
"56.7500002216548","203.69387755102",""
"61.8910002987832","199.730769230769",""
"67.0310002053156","214.172413793103",""
"72.1720002824441","215.466666666667",""
"77.3130003595725","246.153846153846",""
"82.4530002661049","245.36231884058",""
"87.5940003432333","277.723076923077",""
"92.7810000954196","278.653846153846",""
"97.9380003875121","299.465753424658",""
"103.188000200316","233.806818181818",""
"108.391000167467","253.666666666667",""
"113.531000073999","267.235294117647",""
"118.702999781817","337.415730337079",""
"123.90600037761","365.918367346939",""
"129.06300004106","302.176470588235",""
"134.235000377521","389.397959183673",""
"139.405999914743","452.09",""
"144.563000206836","629.730337078652",""
"149.828000064008","642.302325581395",""
"155.094000091776","652.638095238095",""
"160.297000058927","686.476635514019",""
"165.453000180423","632",""
"170.734999794513","655.341666666667",""
"175.905999960378","696.099099099099",""
"181.203000247478","549.688073394495",""
"186.438000015914","711.93023255814",""
"191.577999922447","586.407407407407",""
"196.860000165179","686.68115942029",""
"202.06300013233","575.775",""
"207.39100005012","660.918518518519",""
"212.655999907292","724.007352941176",""
"217.906000348739","618.34375",""
"223.219000222161","711.391304347826",""
"228.452999820001","721.992907801418",""
"233.84399979841","735.040540540541",""
"239.172000344843","728.021126760563",""
"244.438000372611","841.471428571429",""
"249.796999921091","799.885135135135",""
"255.141000053845","885.2",""
"260.500000230968","903.075342465753",""
"265.921999840066","939.780821917808",""
"271.250000386499","969.296052631579",""
"276.530999829993","987.204225352113",""
"281.796999857761","1060.08108108108",""
"287.187999836169","1042.75838926174",""
"292.468999908306","1099.42176870748",""
"297.766000195406","1193.16783216783",""
"303.110000328161","1171.72297297297",""
"308.516000350937","1215.85714285714",""
"313.859999855049","1241.57718120805",""
"319.250000291504","1363.75167785235",""
"324.468999844976","1407.89928057554",""
"329.874999867752","1343.89333333333",""
"335.26599984616","1383.24666666667",""
"340.609999978915","1511.42465753425",""
"345.952999941073","1526.30872483221",""
"351.280999858864","1612.27464788732",""
"356.531000300311","1617.95804195804",""
"361.797000328079","1593.77333333333",""
"367.093999986537","1687.60544217687",""
"372.453000163659","1661.26573426573",""
"377.78100008145","1804.03355704698",""
"383.063000324182","1759.76551724138",""
"388.453000131994","2066.79411764706",""
"393.766000005417","2121.80714285714",""
"399.063000292517","1904.62328767123",""
"404.406000254676","1981.31724137931",""
"409.672000282444","2067.11428571429",""
"415.015999786556","2122.38620689655",""
"420.421999809332","2044.14765100671",""
"425.780999986455","2221.43150684932",""
"431.093999859877","2270.10638297872",""
"436.374999932013","2285.92253521127",""
"441.62500037346","2305.96402877698",""
"446.953000291251","2265.36111111111",""
"452.328000054695","2522.46575342466",""
"457.687999773771","2383.84827586207",""
"462.985000060871","2406.27777777778",""
"468.344000237994","2459.81756756757",""
"473.688000370748","2626.35714285714",""
"479.000000073574","2543.25342465753",""
"484.312999946997","2597.33103448276",""
"489.672000124119","2598.89726027397",""
"495.00000004191","2635.23188405797",""
"500.360000389628","2654.4966442953",""
"505.735000153072","2516.33333333333",""
"511.094000330195","2619.25342465753",""
"516.437999834307","2566.91428571429",""
"521.780999796465","2683.3724137931",""
"527.109999884851","2566.7074829932",""
"532.500000321306","2518.51333333333",""
"537.813000194728","2555.58041958042",""
"543.031000206247","2735.36879432624",""
"548.405999969691","2578.99315068493",""
"553.781000361778","2598.25675675676",""
"559.202999970876","2460.49668874172",""
"564.54700010363","2711.54225352113",""
"569.87500002142","2572.82876712329",""
"575.202999939211","2580.91034482759",""
"580.547000071965","2544.24827586207",""
"585.89100020472","2639.51351351351",""
"591.297000227496","2639.63120567376",""
"596.625000145286","2626.57823129252",""
