"Vertical Axis: Average Request Time [ms]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"5.4850002983585","0",""
"10.5780003592372","0",""
"15.6719999620691","0",""
"20.7810002379119","0",""
"25.9220003150404","0",""
"31.0470001772046","0",""
"36.1720000393689","0",""
"41.3130001164973","0",""
"46.4530000230297","0",""
"51.5940001001582","0",""
"56.7500002216548","0",""
"61.8910002987832","0",""
"67.0310002053156","0",""
"72.1720002824441","0",""
"77.3130003595725","0",""
"82.4530002661049","0",""
"87.5940003432333","0",""
"92.7810000954196","0",""
"97.9380003875121","0",""
"103.188000200316","0",""
"108.391000167467","0",""
"113.531000073999","0",""
"118.702999781817","0",""
"123.90600037761","0",""
"129.06300004106","0",""
"134.235000377521","0",""
"139.405999914743","0",""
"144.563000206836","0",""
"149.828000064008","0",""
"155.094000091776","0",""
"160.297000058927","0",""
"165.453000180423","0",""
"170.734999794513","0",""
"175.905999960378","0",""
"181.203000247478","0",""
"186.438000015914","0",""
"191.577999922447","0",""
"196.860000165179","0",""
"202.06300013233","0",""
"207.39100005012","0",""
"212.655999907292","0",""
"217.906000348739","0",""
"223.219000222161","0",""
"228.452999820001","0",""
"233.84399979841","0",""
"239.172000344843","0",""
"244.438000372611","0",""
"249.796999921091","0",""
"255.141000053845","0",""
"260.500000230968","0",""
"265.921999840066","0",""
"271.250000386499","0",""
"276.530999829993","0",""
"281.796999857761","0",""
"287.187999836169","0",""
"292.468999908306","0",""
"297.766000195406","0",""
"303.110000328161","0",""
"308.516000350937","0",""
"313.859999855049","0",""
"319.250000291504","0",""
"324.468999844976","0",""
"329.874999867752","0",""
"335.26599984616","0",""
"340.609999978915","0",""
"345.952999941073","0",""
"351.280999858864","0",""
"356.531000300311","0",""
"361.797000328079","0",""
"367.093999986537","0",""
"372.453000163659","0",""
"377.78100008145","0",""
"383.063000324182","0",""
"388.453000131994","0",""
"393.766000005417","0",""
"399.063000292517","0",""
"404.406000254676","0",""
"409.672000282444","0",""
"415.015999786556","0",""
"420.421999809332","0",""
"425.780999986455","0",""
"431.093999859877","0",""
"436.374999932013","0",""
"441.62500037346","0",""
"446.953000291251","0",""
"452.328000054695","0",""
"457.687999773771","0",""
"462.985000060871","0",""
"468.344000237994","0",""
"473.688000370748","0",""
"479.000000073574","0",""
"484.312999946997","0",""
"489.672000124119","0",""
"495.00000004191","0",""
"500.360000389628","0",""
"505.735000153072","0",""
"511.094000330195","0",""
"516.437999834307","0",""
"521.780999796465","0",""
"527.109999884851","0",""
"532.500000321306","0",""
"537.813000194728","0",""
"543.031000206247","0",""
"548.405999969691","0",""
"553.781000361778","0",""
"559.202999970876","0",""
"564.54700010363","0",""
"569.87500002142","0",""
"575.202999939211","0",""
"580.547000071965","0",""
"585.89100020472","0",""
"591.297000227496","0",""
"596.625000145286","0",""
