"Vertical Axis: Hits/s - Clicks/s","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"5.4850002983585","0.792456011025394",""
"10.5780003592372","1.96248415627153",""
"15.6719999620691","2.54966003681752",""
"20.7810002379119","3.32568290780113",""
"25.9220003150404","4.47655347695541",""
"31.0470001772046","5.26915812236894",""
"36.1720000393689","5.84786081585523",""
"41.3130001164973","6.62159705017471",""
"46.4530000230297","7.78350621944232",""
"51.5940001001582","8.36091834694378",""
"56.7500002216548","9.50094290237778",""
"61.8910002987832","10.1024385923131",""
"67.0310002053156","11.2882826987906",""
"72.1720002824441","11.6757893100216",""
"77.3130003595725","12.6435589072642",""
"82.4530002661049","13.4299481433273",""
"87.5940003432333","12.6339864202406",""
"92.7810000954196","15.0202544213546",""
"97.9380003875121","14.1741658153167",""
"103.188000200316","16.7654065856441",""
"108.391000167467","17.8531870573844",""
"113.531000073999","16.5411799160528",""
"118.702999781817","17.1963375921927",""
"123.90600037761","18.8442141113209",""
"129.06300004106","19.7715697034797",""
"134.235000377521","18.9624716532205",""
"139.405999914743","19.3196555094248",""
"144.563000206836","17.263574738178",""
"149.828000064008","16.3268720280539",""
"155.094000091776","19.9385960128561",""
"160.297000058927","20.580007816948",""
"165.453000180423","16.4802571160239",""
"170.734999794513","22.7373849699909",""
"175.905999960378","21.4541876134995",""
"181.203000247478","20.5694915381121",""
"186.438000015914","24.6625627137459",""
"191.577999922447","20.9816507706733",""
"196.860000165179","26.2011603618409",""
"202.06300013233","23.061899219146",""
"207.39100005012","25.2959724928259",""
"212.655999907292","25.816317585736",""
"217.906000348739","24.4165460179089",""
"223.219000222161","25.9703506905646",""
"228.452999820001","26.8864509539303",""
"233.84399979841","27.4924582551559",""
"239.172000344843","26.6073815188676",""
"244.438000372611","26.6239739940177",""
"249.796999921091","27.5753255662121",""
"255.141000053845","26.2275649796985",""
"260.500000230968","27.2414215858109",""
"265.921999840066","26.9657177931863",""
"271.250000386499","28.5224548260612",""
"276.530999829993","26.8759447379458",""
"281.796999857761","28.0581661289104",""
"287.187999836169","27.6952148879638",""
"292.468999908306","27.8078803871339",""
"297.766000195406","26.9961423529511",""
"303.110000328161","27.6994464373657",""
"308.516000350937","27.1479505273463",""
"313.859999855049","27.9415932221681",""
"319.250000291504","27.6495336690974",""
"324.468999844976","26.5838851643044",""
"329.874999867752","27.7499639902326",""
"335.26599984616","27.8293878995502",""
"340.609999978915","27.3361694003434",""
"345.952999941073","27.8489065609476",""
"351.280999858864","26.6479234772485",""
"356.531000300311","27.2805015232048",""
"361.797000328079","28.4724603698613",""
"367.093999986537","27.7565022910228",""
"372.453000163659","26.710113296814",""
"377.78100008145","27.9278517682574",""
"383.063000324182","27.4186033857906",""
"388.453000131994","25.2837404748689",""
"393.766000005417","26.3112250172381",""
"399.063000292517","27.6100075172713",""
"404.406000254676","27.1014957582935",""
"409.672000282444","26.5775759209224",""
"415.015999786556","27.1073173625818",""
"420.421999809332","27.5701380170859",""
"425.780999986455","27.2918826042945",""
"431.093999859877","26.4835140184797",""
"436.374999932013","26.9292218083642",""
"441.62500037346","26.4633102393936",""
"446.953000291251","27.0039105953843",""
"452.328000054695","27.1684494220668",""
"457.687999773771","27.1111346801757",""
"462.985000060871","27.1736922355823",""
"468.344000237994","27.5598542175984",""
"473.688000370748","26.2457995883725",""
"479.000000073574","27.4865646204925",""
"484.312999946997","27.2758883500283",""
"489.672000124119","27.2429310964615",""
"495.00000004191","25.8618876928697",""
"500.360000389628","27.8001102930349",""
"505.735000153072","27.9119982421004",""
"511.094000330195","27.2902408329939",""
"516.437999834307","26.1549037883973",""
"521.780999796465","27.1741508045561",""
"527.109999884851","27.5695569322467",""
"532.500000321306","27.8423048891754",""
"537.813000194728","26.9068013463837",""
"543.031000206247","27.0453970629417",""
"548.405999969691","27.094767216577",""
"553.781000361778","27.5667664803706",""
"559.202999970876","27.8463225771153",""
"564.54700010363","26.5426822002208",""
"569.87500002142","27.4597827875138",""
"575.202999939211","27.2251965737527",""
"580.547000071965","27.1379995502394",""
"585.89100020472","27.634788621558",""
"591.297000227496","26.1214694037505",""
"596.625000145286","27.5918489717156",""
