"Vertical Axis: Sent/Received Requests/s","Horizontal Axis: Time since start of test [s] (time values are fractions of a day)"
"10.6125781349306","1.76572944501199",""
"15.7281897559606","2.54124990886872",""
"20.861750306254","3.50634154910531",""
"25.9879057254483","4.48679969860394",""
"31.1077502866984","5.07828554538296",""
"36.2426917387545","5.84233261221588",""
"41.3915092560647","6.79768542216279",""
"46.5331962581837","7.97404606539636",""
"51.6814095087504","8.35242233400598",""
"56.8321711278947","9.3190238340031",""
"61.9828802263975","10.2898570572692",""
"67.0991075681406","10.9455795544133",""
"72.2398695923644","11.671432835816",""
"77.3823108802934","12.6399295007549",""
"82.5220384154969","13.619416015871",""
"87.681440238913","12.5983740237997",""
"92.8627660778116","14.8610795542468",""
"98.0946430342404","14.3352163533868",""
"103.276465863678","17.1754444890421",""
"108.461590230043","17.3573670214657",""
"113.636813896738","16.8108866837518",""
"118.837344690456","16.7290822690819",""
"124.003276114702","19.9383459928235",""
"129.155283981623","19.2158320907771",""
"134.319427189769","18.7833909287724",""
"139.484454588502","19.1673934726843",""
"144.75606648331","18.7798575926199",""
"150.028294378196","14.4151743976682",""
"155.225610238173","20.3951681796654",""
"160.384889979034","20.9331817185",""
"165.631396448431","16.5824816554345",""
"170.82415614275","22.5313998067754",""
"176.083917648751","22.0542588433002",""
"181.340927129007","19.5929112940596",""
"186.510843696615","24.9520777830842",""
"191.762765100034","20.7543333542382",""
"196.965632782937","26.7160674976537",""
"202.267349062521","22.6342037438444",""
"207.587863820681","25.9373794466609",""
"212.811031010925","25.8464186874373",""
"218.132744524793","24.4282516566234",""
"223.37802150832","25.7374725848825",""
"228.760644439447","27.8674791579775",""
"234.064688109802","26.5835279368728",""
"239.309027264638","26.1234378266943",""
"244.677619920968","27.9403138808992",""
"250.050505301651","26.8012724111311",""
"255.41082483947","26.8641009349689",""
"260.815662325798","27.3829081208468",""
"266.130531953083","26.5293724073964",""
"271.392724494314","27.7452244387564",""
"276.708210959773","27.8432063826776",""
"282.089584290741","27.6881296414803",""
"287.361834534836","27.50252169404",""
"292.68190761675","27.8191988528951",""
"297.996579174169","27.094838311269",""
"303.404435759293","27.3676207703789",""
"308.752993187682","27.85801236946",""
"314.126442047802","27.7289640790913",""
"319.369119818301","27.0854285254192",""
"324.725850631854","27.2554623722714",""
"330.118131494366","27.6321233309277",""
"335.482339235853","27.9631563323508",""
"340.853455676629","26.8101006286757",""
"346.191977751362","27.3484259652171",""
"351.431072943628","27.10395000329",""
"356.69908242528","27.3348360777882",""
"361.980146080019","28.7821110957409",""
"367.35114099697","28.114018662325",""
"372.684591756774","26.4369483909036",""
"377.94604398045","27.3689016051805",""
"383.341471611615","27.8013483555639",""
"388.664017354161","24.9880754348026",""
"393.957202661232","26.6380568561894",""
"399.308602350299","27.2826131784025",""
"404.579589864075","27.6988282735259",""
"409.913218020726","26.4360718644697",""
"415.271160161417","27.0626585655729",""
"420.649742634888","27.3306523977534",""
"426.013105855632","26.8488542704569",""
"431.283979667807","26.7508153124344",""
"436.532072931057","27.0574776729868",""
"441.85382332112","26.6829808965867",""
"447.225121907952","27.5538898004934",""
"452.583341458202","26.1280820405101",""
"457.864115690681","27.6478589045669",""
"463.234503267873","26.8136765051812",""
"468.594595681853","28.1713308051417",""
"473.871608542426","25.7721862709135",""
"479.201611657347","27.5797544656908",""
"484.5665756402","27.4000289417243",""
"489.883431553452","26.8956268795415",""
"495.252496336825","26.6340944549825",""
"500.616094782996","27.4070033883146",""
"505.992587046678","27.3412791219999",""
"511.321113158237","27.3997284320165",""
"516.683510334414","26.6672085635158",""
"521.987766880986","27.3365676675531",""
"527.391074005216","27.7608078108679",""
"532.725400295289","26.8075370732246",""
"537.928430848055","26.9074357830839",""
"543.303092990869","27.3505905065596",""
"548.664977811426","27.4157639370761",""
"554.09882736493","27.6047704638916",""
"559.444676907261","27.1238772352411",""
"564.762736604792","26.7015015068651",""
"570.081377661127","27.2626331434949",""
"575.432130061223","28.4072540013604",""
"580.746540132894","26.7198357495826",""
"586.175930460436","27.0748909928089",""
"591.5328333629","26.6945666100381",""
"596.897191123453","27.4031239761776",""
