"Vertical Axis: Average Request Time [ms]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"5.4850002983585","468.550821403279",""
"10.5780003592372","193.408184559769",""
"15.6719999620691","192.876769791434",""
"20.7810002379119","190.118050659248",""
"25.9220003150404","190.791737132974",""
"31.0470001772046","194.200773396453",""
"36.1720000393689","190.693072257321",""
"41.3130001164973","192.951790701628",""
"46.4530000230297","194.453457073455",""
"51.5940001001582","196.185340822354",""
"56.7500002216548","203.649648665585",""
"61.8910002987832","199.785920363536",""
"67.0310002053156","214.185996765819",""
"72.1720002824441","215.496774031336",""
"77.3130003595725","246.183261151476",""
"82.4530002661049","245.421998314457",""
"87.5940003432333","277.702011332124",""
"92.7810000954196","278.691579874551",""
"97.9380003875121","299.452312346195",""
"103.188000200316","233.757458254915",""
"108.391000167467","253.663908777257",""
"113.531000073999","267.205557590995",""
"118.702999781817","337.450671850344",""
"123.90600037761","365.917404677558",""
"129.06300004106","302.167728130854",""
"134.235000377521","389.382346821471",""
"139.405999914743","452.065125595571",""
"144.563000206836","629.745799247193",""
"149.828000064008","642.278856605362",""
"155.094000091776","652.654553262256",""
"160.297000058927","686.482687854796",""
"165.453000180423","631.99774733118",""
"170.734999794513","655.322131257837",""
"175.905999960378","696.056229100233",""
"181.203000247478","549.718746607652",""
"186.438000015914","711.918173827926",""
"191.577999922447","586.442273880971",""
"196.860000165179","686.63469515122",""
"202.06300013233","575.788310153013",""
"207.39100005012","660.913340786174",""
"212.655999907292","723.978086518226",""
"217.906000348739","618.391395589384",""
"223.219000222161","711.410605359709",""
"228.452999820001","721.942254458051",""
"233.84399979841","735.048399817386",""
"239.172000344843","728.000055243468",""
"244.438000372611","841.458736874579",""
"249.796999921091","799.895489133018",""
"255.141000053845","885.207301885735",""
"260.500000230968","903.065794866367",""
"265.921999840066","939.777419097633",""
"271.250000386499","969.287889500217",""
"276.530999829993","987.220401507084",""
"281.796999857761","1060.098633629",""
"287.187999836169","1042.75310908296",""
"292.468999908306","1099.44147026705",""
"297.766000195406","1193.15023502762",""
"303.110000328161","1171.68945260407",""
"308.516000350937","1215.85011046752",""
"313.859999855049","1241.59441695755",""
"319.250000291504","1363.71733946427",""
"324.468999844976","1407.88790818446",""
"329.874999867752","1343.88921310762",""
"335.26599984616","1383.19968971848",""
"340.609999978915","1511.3990591557",""
"345.952999941073","1526.31536415979",""
"351.280999858864","1612.30305275836",""
"356.531000300311","1617.95415514925",""
"361.797000328079","1593.80512886414",""
"367.093999986537","1687.58240023722",""
"372.453000163659","1661.2758466089",""
"377.78100008145","1804.033899138",""
"383.063000324182","1759.7670981204",""
"388.453000131994","2066.80594181663",""
"393.766000005417","2121.78872095276",""
"399.063000292517","1904.62689095501",""
"404.406000254676","1981.31768529048",""
"409.672000282444","2067.11541750218",""
"415.015999786556","2122.37082723045",""
"420.421999809332","2044.12850229053",""
"425.780999986455","2221.42172083285",""
"431.093999859877","2270.09408234449",""
"436.374999932013","2285.92120617108",""
"441.62500037346","2305.98690193644",""
"446.953000291251","2265.35895662406",""
"452.328000054695","2522.47909100409",""
"457.687999773771","2383.8869388187",""
"462.985000060871","2406.30532108286",""
"468.344000237994","2459.83546414041",""
"473.688000370748","2626.34630538638",""
"479.000000073574","2543.26481036457",""
"484.312999946997","2597.31173307954",""
"489.672000124119","2598.90709305539",""
"495.00000004191","2635.24675763888",""
"500.360000389628","2654.51696595123",""
"505.735000153072","2516.35787974915",""
"511.094000330195","2619.29490081936",""
"516.437999834307","2566.93207017731",""
"521.780999796465","2683.33858459472",""
"527.109999884851","2566.7376016503",""
"532.500000321306","2518.54960337138",""
"537.813000194728","2555.55586248817",""
"543.031000206247","2735.36326564109",""
"548.405999969691","2579.00370440056",""
"553.781000361778","2598.2639496723",""
"559.202999970876","2460.52613572118",""
"564.54700010363","2711.52439529306",""
"569.87500002142","2572.81551453017",""
"575.202999939211","2580.89421979609",""
"580.547000071965","2544.27008711038",""
"585.89100020472","2639.55223736914",""
"591.297000227496","2639.59378766878",""
"596.625000145286","2626.55804228833",""
