"Vertical Axis: Time [ms]","Horizontal Axis: Time Since Start of Test [s] (time values are fractions of a day)"
"0","0",""
"5.4850002983585","466.75",""
"10.5780003592372","192.1",""
"15.6719999620691","191.538461538462",""
"20.7810002379119","188.764705882353",""
"25.9220003150404","188.913043478261",""
"31.0470001772046","192.592592592593",""
"36.1720000393689","189.2",""
"41.3130001164973","191.558823529412",""
"46.4530000230297","192.875",""
"51.5940001001582","193.883720930233",""
"56.7500002216548","201.34693877551",""
"61.8910002987832","197.807692307692",""
"67.0310002053156","211.310344827586",""
"72.1720002824441","211.766666666667",""
"77.3130003595725","242.507692307692",""
"82.4530002661049","241",""
"87.5940003432333","273.969230769231",""
"92.7810000954196","273.346153846154",""
"97.9380003875121","294.068493150685",""
"103.188000200316","229.840909090909",""
"108.391000167467","248.559139784946",""
"113.531000073999","262.011764705882",""
"118.702999781817","332.415730337079",""
"123.90600037761","357.020408163265",""
"129.06300004106","297.21568627451",""
"134.235000377521","381.020408163265",""
"139.405999914743","445.73",""
"144.563000206836","620.52808988764",""
"149.828000064008","632.06976744186",""
"155.094000091776","643.171428571429",""
"160.297000058927","674.028037383178",""
"165.453000180423","621.611764705882",""
"170.734999794513","642.05",""
"175.905999960378","685.882882882883",""
"181.203000247478","539.302752293578",""
"186.438000015914","701.457364341085",""
"191.577999922447","576.111111111111",""
"196.860000165179","676.840579710145",""
"202.06300013233","565.575",""
"207.39100005012","650.474074074074",""
"212.655999907292","710.889705882353",""
"217.906000348739","605.8203125",""
"223.219000222161","698",""
"228.452999820001","708.184397163121",""
"233.84399979841","721.601351351351",""
"239.172000344843","711.147887323944",""
"244.438000372611","828.25",""
"249.796999921091","785.797297297297",""
"255.141000053845","870.364285714286",""
"260.500000230968","888.027397260274",""
"265.921999840066","925.808219178082",""
"271.250000386499","954.302631578947",""
"276.530999829993","972.464788732394",""
"281.796999857761","1046.56081081081",""
"287.187999836169","1028.74496644295",""
"292.468999908306","1084.38095238095",""
"297.766000195406","1178.51048951049",""
"303.110000328161","1156.08108108108",""
"308.516000350937","1200.85714285714",""
"313.859999855049","1226.69798657718",""
"319.250000291504","1348.18791946309",""
"324.468999844976","1392.59712230216",""
"329.874999867752","1329.50666666667",""
"335.26599984616","1368.43333333333",""
"340.609999978915","1496.75342465753",""
"345.952999941073","1510.94630872483",""
"351.280999858864","1598.28169014085",""
"356.531000300311","1603.18181818182",""
"361.797000328079","1578.68",""
"367.093999986537","1671.7619047619",""
"372.453000163659","1646.68531468531",""
"377.78100008145","1789.87248322148",""
"383.063000324182","1743.59310344828",""
"388.453000131994","2051.01470588235",""
"393.766000005417","2106.07857142857",""
"399.063000292517","1888.19178082192",""
"404.406000254676","1966.58620689655",""
"409.672000282444","2052.55714285714",""
"415.015999786556","2108.11034482759",""
"420.421999809332","2029.02013422819",""
"425.780999986455","2206.35616438356",""
"431.093999859877","2254.59574468085",""
"436.374999932013","2270.27464788732",""
"441.62500037346","2289.18705035971",""
"446.953000291251","2249.67361111111",""
"452.328000054695","2507.59589041096",""
"457.687999773771","2368.9724137931",""
"462.985000060871","2392.27777777778",""
"468.344000237994","2442.89189189189",""
"473.688000370748","2612.06428571429",""
"479.000000073574","2527.6301369863",""
"484.312999946997","2583.46206896552",""
"489.672000124119","2583.28767123288",""
"495.00000004191","2620.6884057971",""
"500.360000389628","2637.57718120805",""
"505.735000153072","2499.74",""
"511.094000330195","2604.58904109589",""
"516.437999834307","2551.96428571429",""
"521.780999796465","2668.17931034483",""
"527.109999884851","2550.31972789116",""
"532.500000321306","2503.07333333333",""
"537.813000194728","2541.87412587413",""
"543.031000206247","2721.56737588653",""
"548.405999969691","2563.42465753425",""
"553.781000361778","2583.67567567568",""
"559.202999970876","2443.96688741722",""
"564.54700010363","2696.83098591549",""
"569.87500002142","2558.43150684932",""
"575.202999939211","2566.61379310345",""
"580.547000071965","2527.42068965517",""
"585.89100020472","2624.56756756757",""
"591.297000227496","2626.09219858156",""
"596.625000145286","2611.45578231293",""
