"Vertical Axis: Request Hierarchy","Horizontal Axis: Time Since Start of Test [ms] (time values are fractions of a day)"
"36403.7960131804","0","CLICK User:2 Request:26"
"36484.7685948912","0","CLICK User:1 Request:29"
"36608.8664900148","0","CLICK User:7 Request:7"
"36761.0000712381","0","CLICK User:6 Request:11"
"36906.5420325768","0","CLICK User:5 Request:15"
"37102.0280510512","0","CLICK User:4 Request:19"
"37496.500532889","0","CLICK User:3 Request:23"
"37517.4355958648","0","CLICK User:8 Request:4"
"37658.6870677698","0","CLICK User:2 Request:27"
"37734.7662901291","0","CLICK User:1 Request:30"
"37859.891690145","0","CLICK User:7 Request:8"
"38010.4099822743","0","CLICK User:6 Request:12"
"38155.7608578744","0","CLICK User:5 Request:16"
"38351.8882986525","0","CLICK User:4 Request:20"
"38634.1546202101","0","CLICK User:9 Request:1"
"38752.2461653646","0","CLICK User:3 Request:24"
"38771.6505868763","0","CLICK User:8 Request:5"
"38908.7048772959","0","CLICK User:2 Request:28"
"38987.8995794158","0","CLICK User:1 Request:31"
"39113.7133350747","0","CLICK User:7 Request:9"
"39262.1266110637","0","CLICK User:6 Request:13"
"39407.6465025583","0","CLICK User:5 Request:17"
"39600.3651302051","0","CLICK User:4 Request:21"
"39891.0202274311","0","CLICK User:9 Request:2"
"40013.1715064345","0","CLICK User:3 Request:25"
"40025.9354191664","0","CLICK User:8 Request:6"
"40166.9430053261","0","CLICK User:2 Request:29"
"40241.7759799081","0","CLICK User:1 Request:32"
"40366.7169989482","0","CLICK User:7 Request:10"
"40513.2694239072","0","CLICK User:6 Request:14"
"40661.6385602081","0","CLICK User:5 Request:18"
"40854.0769846447","0","CLICK User:4 Request:22"
"41151.8170605482","0","CLICK User:9 Request:3"
"41267.1205418566","0","CLICK User:3 Request:26"
"41279.8903212559","0","CLICK User:8 Request:7"
"41419.5885231224","0","CLICK User:2 Request:30"
"41493.4800372673","0","CLICK User:1 Request:33"
"41619.804192991","0","CLICK User:7 Request:11"
"41763.1902937385","0","CLICK User:6 Request:15"
"41907.6846358965","0","CLICK User:5 Request:19"
"42098.1814727849","0","CLICK User:4 Request:23"
"42416.5669100402","0","CLICK User:9 Request:4"
"42527.9170956085","0","CLICK User:3 Request:27"
"42531.8279278512","0","CLICK User:8 Request:8"
"42673.4554252007","0","CLICK User:2 Request:31"
"42748.7230919013","0","CLICK User:1 Request:34"
"42872.7715393996","0","CLICK User:7 Request:12"
"43014.3317097564","0","CLICK User:6 Request:16"
"43165.0508654033","0","CLICK User:5 Request:20"
"43347.2770980669","0","CLICK User:4 Request:24"
"43515.4057289404","0","CLICK User:10 Request:1"
"43678.3688988405","0","CLICK User:9 Request:5"
"43791.15725602","0","CLICK User:3 Request:28"
"43792.8778657623","0","CLICK User:8 Request:9"
"43926.4518255812","0","CLICK User:2 Request:32"
"44006.5944135358","0","CLICK User:1 Request:35"
"44134.4581504074","0","CLICK User:7 Request:13"
"44265.3024336892","0","CLICK User:6 Request:17"
"44416.7895640368","0","CLICK User:5 Request:21"
"44595.6690026246","0","CLICK User:4 Request:25"
"44766.3560592198","0","CLICK User:10 Request:2"
"44939.252055778","0","CLICK User:9 Request:6"
"45052.4178352277","0","CLICK User:3 Request:29"
"45055.4187752913","0","CLICK User:8 Request:10"
"45177.0420542276","0","CLICK User:2 Request:33"
"45261.7056078356","0","CLICK User:1 Request:36"
"45383.526118543","0","CLICK User:7 Request:14"
"45516.4449671676","0","CLICK User:6 Request:18"
"45666.7660275258","0","CLICK User:5 Request:22"
"45847.3512695049","0","CLICK User:4 Request:26"
"46014.4881542207","0","CLICK User:10 Request:3"
"46202.2790606069","0","CLICK User:9 Request:7"
"46304.4157846877","0","CLICK User:3 Request:30"
"46311.4655633607","0","CLICK User:8 Request:11"
"46430.4228610061","0","CLICK User:2 Request:34"
"46533.4415407545","0","CLICK User:1 Request:37"
"46634.4909758084","0","CLICK User:7 Request:15"
"46770.3434375039","0","CLICK User:6 Request:19"
"46920.7684216849","0","CLICK User:5 Request:23"
"47099.3791110323","0","CLICK User:4 Request:27"
"47267.3563260135","0","CLICK User:10 Request:4"
"47456.7988389586","0","CLICK User:9 Request:8"
"47568.2300404102","0","CLICK User:8 Request:12"
"47573.4910442528","0","CLICK User:3 Request:31"
"47682.5107660331","0","CLICK User:2 Request:35"
"47784.0873630587","0","CLICK User:1 Request:38"
"47891.1744369745","0","CLICK User:7 Request:16"
"48022.4503393588","0","CLICK User:6 Request:20"
"48155.0998800127","0","CLICK User:11 Request:1"
"48179.6622196396","0","CLICK User:5 Request:24"
"48358.1709407201","0","CLICK User:4 Request:28"
"48523.3162315322","0","CLICK User:10 Request:5"
"48716.7539449846","0","CLICK User:9 Request:9"
"48827.0660097862","0","CLICK User:8 Request:13"
"48830.850848362","0","CLICK User:3 Request:32"
"48953.1353845251","0","CLICK User:2 Request:36"
"49033.3763090002","0","CLICK User:1 Request:39"
"49142.5410212751","0","CLICK User:7 Request:17"
"49280.1998578032","0","CLICK User:6 Request:21"
"49409.0715440091","0","CLICK User:11 Request:2"
"49435.3410838528","0","CLICK User:5 Request:25"
"49611.3464141392","0","CLICK User:4 Request:29"
"49774.4068030993","0","CLICK User:10 Request:6"
"49977.3172288657","0","CLICK User:9 Request:10"
"50088.8710716027","0","CLICK User:8 Request:14"
"50095.3470343298","0","CLICK User:3 Request:33"
"50217.7667832085","0","CLICK User:2 Request:37"
"50291.3850782711","0","CLICK User:1 Request:40"
"50394.5632755001","0","CLICK User:7 Request:18"
"50535.3593822679","0","CLICK User:6 Request:22"
"50661.139614113","0","CLICK User:11 Request:3"
"50685.6823981819","0","CLICK User:5 Request:26"
"50865.3150051194","0","CLICK User:4 Request:30"
"51024.4215396091","0","CLICK User:10 Request:7"
"51238.0193572088","0","CLICK User:9 Request:11"
"51353.5250988603","0","CLICK User:8 Request:15"
"51360.4156394179","0","CLICK User:3 Request:34"
"51474.7483269522","0","CLICK User:2 Request:38"
"51555.0417720688","0","CLICK User:1 Request:41"
"51681.9757818382","0","CLICK User:7 Request:19"
"51794.983999363","0","CLICK User:6 Request:23"
"51913.3434556627","0","CLICK User:11 Request:4"
"51943.79369445","0","CLICK User:5 Request:27"
"52121.1086883948","0","CLICK User:4 Request:31"
